gene_symbol	hpo_id	hpo_name
EBP	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
DPYSL5	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
HRAS	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
KRAS	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
NRAS	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
SLC35A2	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
ZIC1	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
WDR73	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
GLI3	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
TBC1D24	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
DYNC2I1	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
IFT80	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
WDR35	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
DYNC2H1	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
DYNC2I2	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
CSF1R	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
BLTP1	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
CHD7	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
SEMA3E	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
FKTN	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
POMGNT2	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
B3GALNT2	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
COL4A1	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
CRPPA	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
RXYLT1	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
POMK	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
POMGNT1	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
FTO	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
ARID1B	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
AFF3	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
POLR1A	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
SMARCA4	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
SMARCB1	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
SOX4	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
ARID1A	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
DPF2	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
SMARCC2	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
SMARCD1	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
ARID2	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
SMARCE1	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
SOX11	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
PGAP2	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
ESCO2	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
PLG	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
DHCR7	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
TMEM107	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
TXNDC15	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
NPHP3	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
ASXL1	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
BUB3	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
BUB1	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
CEP57	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
TRIP13	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
BUB1B	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
FAR1	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
FGFR1	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
B4GALT1	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
PHGDH	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
KIF21A	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
NUP88	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
MYOD1	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
MAGEL2	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
MUSK	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
RAPSN	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
SLC18A3	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
DOK7	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
POGZ	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
RNF113A	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
CDC42	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
POLR3A	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
MTM1	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
ATP6V1B2	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
BCOR	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
FLVCR2	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
CCDC22	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
DDX3X	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
PPP1CB	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
GTPBP2	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
PIEZO2	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
WASHC5	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
EVC2	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
EVC	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
ATP6V1A	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
