gene_symbol	hpo_id	hpo_name
MYOT	HP:0003808	Abnormal muscle tone
TET3	HP:0003808	Abnormal muscle tone
KDM5C	HP:0003808	Abnormal muscle tone
CAMK2G	HP:0003808	Abnormal muscle tone
SLC30A9	HP:0003808	Abnormal muscle tone
STAG2	HP:0003808	Abnormal muscle tone
POU3F3	HP:0003808	Abnormal muscle tone
DSE	HP:0003808	Abnormal muscle tone
PAX7	HP:0003808	Abnormal muscle tone
XYLT2	HP:0003808	Abnormal muscle tone
CHRNE	HP:0003808	Abnormal muscle tone
GFPT1	HP:0003808	Abnormal muscle tone
CHRNA7	HP:0003808	Abnormal muscle tone
DNM1L	HP:0003808	Abnormal muscle tone
CHRNA1	HP:0003808	Abnormal muscle tone
SETD5	HP:0003808	Abnormal muscle tone
GLDC	HP:0003808	Abnormal muscle tone
DIAPH1	HP:0003808	Abnormal muscle tone
GAMT	HP:0003808	Abnormal muscle tone
CHAMP1	HP:0003808	Abnormal muscle tone
RPGRIP1L	HP:0003808	Abnormal muscle tone
NPHP1	HP:0003808	Abnormal muscle tone
TMEM237	HP:0003808	Abnormal muscle tone
ATP1A2	HP:0003808	Abnormal muscle tone
AHDC1	HP:0003808	Abnormal muscle tone
EXTL3	HP:0003808	Abnormal muscle tone
AFG2A	HP:0003808	Abnormal muscle tone
MEGF10	HP:0003808	Abnormal muscle tone
AHI1	HP:0003808	Abnormal muscle tone
INPP5E	HP:0003808	Abnormal muscle tone
CEP120	HP:0003808	Abnormal muscle tone
MKS1	HP:0003808	Abnormal muscle tone
CEP41	HP:0003808	Abnormal muscle tone
ERCC8	HP:0003808	Abnormal muscle tone
GNPTAB	HP:0003808	Abnormal muscle tone
YRDC	HP:0003808	Abnormal muscle tone
TSHR	HP:0003808	Abnormal muscle tone
TSHB	HP:0003808	Abnormal muscle tone
CUBN	HP:0003808	Abnormal muscle tone
AMN	HP:0003808	Abnormal muscle tone
TRMU	HP:0003808	Abnormal muscle tone
HNRNPK	HP:0003808	Abnormal muscle tone
RIN2	HP:0003808	Abnormal muscle tone
AFG2B	HP:0003808	Abnormal muscle tone
FGFR3	HP:0003808	Abnormal muscle tone
VLDLR	HP:0003808	Abnormal muscle tone
TOMM7	HP:0003808	Abnormal muscle tone
UQCRFS1	HP:0003808	Abnormal muscle tone
SCO2	HP:0003808	Abnormal muscle tone
UQCC3	HP:0003808	Abnormal muscle tone
NDST1	HP:0003808	Abnormal muscle tone
SMARCD1	HP:0003808	Abnormal muscle tone
NEFL	HP:0003808	Abnormal muscle tone
PMM2	HP:0003808	Abnormal muscle tone
B4GALT7	HP:0003808	Abnormal muscle tone
CLCNKA	HP:0003808	Abnormal muscle tone
CLCNKB	HP:0003808	Abnormal muscle tone
NGLY1	HP:0003808	Abnormal muscle tone
PPM1D	HP:0003808	Abnormal muscle tone
TRMT1	HP:0003808	Abnormal muscle tone
PRKG2	HP:0003808	Abnormal muscle tone
UBE4A	HP:0003808	Abnormal muscle tone
CWF19L1	HP:0003808	Abnormal muscle tone
MAP2K1	HP:0003808	Abnormal muscle tone
FUCA1	HP:0003808	Abnormal muscle tone
FBP1	HP:0003808	Abnormal muscle tone
ADCY5	HP:0003808	Abnormal muscle tone
TBL1XR1	HP:0003808	Abnormal muscle tone
MAP2K2	HP:0003808	Abnormal muscle tone
BCAS3	HP:0003808	Abnormal muscle tone
RALGAPA1	HP:0003808	Abnormal muscle tone
B4GAT1	HP:0003808	Abnormal muscle tone
FDXR	HP:0003808	Abnormal muscle tone
ADAT3	HP:0003808	Abnormal muscle tone
GRIN2B	HP:0003808	Abnormal muscle tone
LGI4	HP:0003808	Abnormal muscle tone
WLS	HP:0003808	Abnormal muscle tone
TWNK	HP:0003808	Abnormal muscle tone
MEF2C	HP:0003808	Abnormal muscle tone
CACNA1C	HP:0003808	Abnormal muscle tone
GPC4	HP:0003808	Abnormal muscle tone
GPC3	HP:0003808	Abnormal muscle tone
LMNA	HP:0003808	Abnormal muscle tone
VAMP1	HP:0003808	Abnormal muscle tone
FCSK	HP:0003808	Abnormal muscle tone
MICOS13	HP:0003808	Abnormal muscle tone
NIPBL	HP:0003808	Abnormal muscle tone
MACF1	HP:0003808	Abnormal muscle tone
MRPL39	HP:0003808	Abnormal muscle tone
GLS	HP:0003808	Abnormal muscle tone
PYGL	HP:0003808	Abnormal muscle tone
GBA1	HP:0003808	Abnormal muscle tone
PRUNE1	HP:0003808	Abnormal muscle tone
CUX1	HP:0003808	Abnormal muscle tone
FAR1	HP:0003808	Abnormal muscle tone
PURA	HP:0003808	Abnormal muscle tone
RAP1B	HP:0003808	Abnormal muscle tone
CASP2	HP:0003808	Abnormal muscle tone
TRPS1	HP:0003808	Abnormal muscle tone
DDR2	HP:0003808	Abnormal muscle tone
HMGCL	HP:0003808	Abnormal muscle tone
ALDH5A1	HP:0003808	Abnormal muscle tone
HERC1	HP:0003808	Abnormal muscle tone
MVK	HP:0003808	Abnormal muscle tone
SLC39A14	HP:0003808	Abnormal muscle tone
ARFGEF2	HP:0003808	Abnormal muscle tone
CASK	HP:0003808	Abnormal muscle tone
DPAGT1	HP:0003808	Abnormal muscle tone
NUP133	HP:0003808	Abnormal muscle tone
TMEM216	HP:0003808	Abnormal muscle tone
GFER	HP:0003808	Abnormal muscle tone
FBN1	HP:0003808	Abnormal muscle tone
MRPS22	HP:0003808	Abnormal muscle tone
IVD	HP:0003808	Abnormal muscle tone
PPP2CA	HP:0003808	Abnormal muscle tone
NFASC	HP:0003808	Abnormal muscle tone
TSEN15	HP:0003808	Abnormal muscle tone
PSAP	HP:0003808	Abnormal muscle tone
POLR1A	HP:0003808	Abnormal muscle tone
ZDHHC9	HP:0003808	Abnormal muscle tone
UPF3B	HP:0003808	Abnormal muscle tone
MED12	HP:0003808	Abnormal muscle tone
KCNJ11	HP:0003808	Abnormal muscle tone
STAT3	HP:0003808	Abnormal muscle tone
GCK	HP:0003808	Abnormal muscle tone
PDX1	HP:0003808	Abnormal muscle tone
ABCC8	HP:0003808	Abnormal muscle tone
INS	HP:0003808	Abnormal muscle tone
ZFP57	HP:0003808	Abnormal muscle tone
HYMAI	HP:0003808	Abnormal muscle tone
PLAGL1	HP:0003808	Abnormal muscle tone
SELENON	HP:0003808	Abnormal muscle tone
COLGALT1	HP:0003808	Abnormal muscle tone
RERE	HP:0003808	Abnormal muscle tone
TUBB2B	HP:0003808	Abnormal muscle tone
TUBA1A	HP:0003808	Abnormal muscle tone
TUBB3	HP:0003808	Abnormal muscle tone
RAB3GAP1	HP:0003808	Abnormal muscle tone
ANAPC7	HP:0003808	Abnormal muscle tone
SMARCC2	HP:0003808	Abnormal muscle tone
NSD2	HP:0003808	Abnormal muscle tone
RNU12	HP:0003808	Abnormal muscle tone
VWA1	HP:0003808	Abnormal muscle tone
HCFC1	HP:0003808	Abnormal muscle tone
EN1	HP:0003808	Abnormal muscle tone
HNRNPC	HP:0003808	Abnormal muscle tone
GET4	HP:0003808	Abnormal muscle tone
PTS	HP:0003808	Abnormal muscle tone
PCGF2	HP:0003808	Abnormal muscle tone
