category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Genetic Information Processing	Translation	hsa00970	Aminoacyl-tRNA biosynthesis	46/1366	66/9446	0.696969696969697	4.819601579484449	12.802926823886345	2.563462290590388e-24	9.074656508689973e-22	5.450730344202719e-22	DARS2/VARS1/IARS2/MTFMT/KARS1/SARS2/VARS2/MARS1/YARS1/IARS1/RARS2/FARS2/FARSB/YARS2/LARS1/CARS1/NARS2/MT-TL1/WARS1/EARS2/MT-TS1/MT-TN/QARS1/CARS2/MT-TI/MT-TP/MT-TF/AARS2/EPRS1/MT-TW/MT-TV/MT-TK/WARS2/NARS1/TARS1/AARS1/PARS2/MT-TE/FARSA/GARS1/MARS2/MT-TT/TARS2/RARS1/DARS1/SEPSECS	46
Human Diseases	Neurodegenerative disease	hsa05022	Pathways of neurodegeneration - multiple diseases	149/1366	483/9446	0.3084886128364389	2.1332235994531494	10.511946156993604	2.384147174408363e-21	4.2199404987028024e-19	2.534724890686786e-19	CAMK2G/CHRNA7/UQCRFS1/NEFL/MAP2K1/MAP2K2/GRIN2B/CACNA1C/TUBB2B/TUBA1A/TUBB3/SDHB/HSD17B10/CSNK2A1/TUBB/CACNA1S/APC2/ATXN2/SDHD/ITPR1/TUBB4B/GRIN1/NDUFS4/CAMK2B/CAMK2A/FIG4/RYR1/NDUFS8/NDUFV1/ATP5F1A/NDUFS1/NDUFS2/BDNF/NDUFA12/NDUFB9/NDUFB3/NDUFA10/MTOR/RAF1/KRAS/NRAS/PLCB1/PSMB1/MT-ATP8/ATP5F1E/ATP5F1D/MT-ATP6/COX5A/TUBB4A/WNT7B/PLCB4/PPP3CA/RAC1/KIF5A/HTRA2/CTNNB1/LRP5/UBA1/NDUFB11/BRAF/GRIN2A/NDUFA1/NDUFB10/MT-ND1/MT-ND3/NDUFV2/NDUFS6/NDUFS3/NDUFA11/NDUFS7/NDUFA6/MT-ND2/HRAS/SPTBN2/CACNA1B/ATP5PO/NDUFA8/STX1A/ATXN1/TUBB2A/PSMD12/ATXN3/CACNA1D/PARK7/UCHL1/LRRK2/SNCA/PINK1/PRKN/NDUFA2/VCP/COX8A/CHMP2B/VAPB/SQSTM1/PRPH/TBK1/OPTN/DCTN1/NEFH/TARDBP/GRIA2/ATP5MC3/KLC2/NDUFA4/MT-ND4/MT-ND5/MT-ND6/SLC6A3/GRIA3/HTT/FUS/SPG11/SIGMAR1/ALS2/KIF5C/PSEN1/PSEN2/TOMM40/APP/SLC25A4/SOD1/EIF2AK3/MFN2/GRIA4/GRIN2D/PRNP/NDUFB8/APC/COX6B1/COX6A2/COX4I1/PRKCG/MAPK1/SDHA/CSNK2B/TUBA8/PLCB3/MAPT/UQCRC1/RAB39B/SNCAIP/NDUFA9/GRM1/NDUFC2/UQCRQ/PSMC1/NDUFA13/CAPN1	149
Organismal Systems	Environmental adaptation	hsa04714	Thermogenesis	92/1366	235/9446	0.39148936170212767	2.707180461667861	10.896339396958163	3.7171930578645736e-21	4.386287808280197e-19	2.6346420971531364e-19	UQCRFS1/SMARCD1/PRKG2/ADCY5/SMARCC2/SDHB/SDHD/CPT1A/COA6/NDUFS4/ACSL4/COX15/ARID1B/PNPLA2/SMARCA2/NDUFS8/NDUFV1/ATP5F1A/NDUFS1/NDUFS2/NDUFAF2/NDUFAF1/NDUFAF6/NDUFA12/NDUFB9/NDUFB3/NDUFA10/MTOR/RPS6KA3/KRAS/NRAS/SOS1/SOS2/MT-ATP8/ATP5F1E/ATP5F1D/MT-ATP6/COX20/ARID1A/SMARCB1/SMARCA4/COX5A/CPT2/PRDM16/NDUFB11/NDUFA1/KDM1A/ACTB/NDUFAF3/NDUFB10/NDUFAF8/MT-ND1/MT-ND3/NDUFV2/NDUFS6/NDUFS3/NDUFAF5/NDUFA11/NDUFAF4/NDUFS7/NDUFA6/MT-ND2/HRAS/FGFR1/ADCY6/ACTL6B/SLC25A20/ATP5PO/NDUFA8/COX11/NDUFA2/COX8A/PPARGC1A/ATP5MC3/NDUFA4/MT-ND4/MT-ND5/MT-ND6/NDUFB8/COX10/COX6B1/COX6A2/COX4I1/SDHA/KDM3B/UQCRC1/CPT1C/NDUFA9/NDUFC2/UQCRQ/NDUFA13/SMARCE1	92
Human Diseases	Cardiovascular disease	hsa05415	Diabetic cardiomyopathy	81/1366	205/9446	0.3951219512195122	2.732300110702425	10.310060860929838	4.830977757288633e-19	4.27541531520044e-17	2.5680460709797468e-17	CAMK2G/GFPT1/UQCRFS1/INS/COL1A1/SDHB/SDHD/MPC1/NDUFS4/COL1A2/PTEN/CAMK2B/CAMK2A/SLC2A1/NDUFS8/NDUFV1/ATP5F1A/NDUFS1/NDUFS2/NDUFA12/NDUFB9/NDUFB3/NDUFA10/MTOR/PLCB1/MT-ATP8/ATP5F1E/ATP5F1D/MT-ATP6/COX5A/PIK3CA/PLCB4/CPT2/RAC1/TGFB3/TGFBR2/PRKCZ/NDUFB11/PDHA1/NDUFA1/NDUFB10/MT-ND1/MT-ND3/NDUFV2/NDUFS6/NDUFS3/NDUFA11/NDUFS7/NDUFA6/MT-ND2/ATP5PO/NDUFA8/NCF1/PDHB/PPP1CB/NDUFA2/COX8A/CTSD/ATP5MC3/NDUFA4/MT-ND4/MT-ND5/MT-ND6/SLC25A4/TGFB1/NDUFB8/COX6B1/COX6A2/COX4I1/PRKCG/SDHA/PIK3CD/PLCB3/UQCRC1/PTPA/NDUFA9/NDUFC2/UQCRQ/NDUFA13/INSR/PIK3R2	81
Organismal Systems	Nervous system	hsa04723	Retrograde endocannabinoid signaling	64/1366	149/9446	0.42953020134228187	2.970235931097507	9.966911549173094	1.9209774239302498e-17	1.3600520161426168e-15	8.169209255450746e-16	ADCY5/CACNA1C/GABRG2/CACNA1S/ITPR1/GNB1/NDUFS4/GNB2/NDUFS8/NDUFV1/NDUFS1/NDUFS2/NDUFA12/NDUFB9/NDUFB3/NDUFA10/PLCB1/GABRD/PLCB4/GNAI1/GABRA2/NDUFB11/GNB5/CACNA1A/NDUFA1/NDUFB10/MT-ND1/MT-ND3/NDUFV2/NDUFS6/NDUFS3/NDUFA11/NDUFS7/NDUFA6/MT-ND2/SLC32A1/ADCY6/GABRB1/CACNA1B/NDUFA8/CACNA1D/NDUFA2/GRIA2/NDUFA4/KCNJ6/MT-ND4/MT-ND5/MT-ND6/GRIA3/GRIA4/GABRB2/GABRA5/GABRB3/GNAO1/NDUFB8/GNAI3/PRKCG/MAPK1/PLCB3/NDUFA9/GRM1/NDUFC2/NDUFA13/GABRA1	64
Human Diseases	Neurodegenerative disease	hsa05014	Amyotrophic lateral sclerosis	114/1366	371/9446	0.30727762803234504	2.1248495420157623	9.08821775395961	2.358771268197034e-16	1.39167504823625e-14	8.3591543188737e-15	UQCRFS1/NEFL/GRIN2B/NUP133/TUBB2B/TUBA1A/TUBB3/SDHB/TUBB/ATXN2/SDHD/TUBB4B/GRIN1/NDUFS4/FIG4/NDUFS8/NDUFV1/ATP5F1A/NDUFS1/NDUFS2/NDUFA12/NDUFB9/NDUFB3/NDUFA10/MTOR/PSMB1/MT-ATP8/ATP5F1E/ATP5F1D/MT-ATP6/COX5A/TUBB4A/PPP3CA/RAC1/KIF5A/NUP54/NDUFB11/NUP107/TPR/GRIN2A/NDUFA1/ACTB/NDUFB10/MT-ND1/MT-ND3/NDUFV2/NDUFS6/NDUFS3/NDUFA11/NDUFS7/NDUFA6/MT-ND2/NUP214/ATP5PO/NDUFA8/TUBB2A/PSMD12/PINK1/PRKN/NDUFA2/ANG/VCP/PFN1/COX8A/CHMP2B/HNRNPA1/VAPB/SQSTM1/PRPH/TBK1/OPTN/DCTN1/NEFH/MATR3/TARDBP/UBQLN2/ERBB4/ANXA11/CHCHD10/GRIA2/ATP5MC3/KLC2/SETX/NDUFA4/MT-ND4/MT-ND5/MT-ND6/TP53/FUS/SPG11/SIGMAR1/ALS2/KIF5C/TOMM40/SOD1/RANBP2/EIF2AK3/NUP62/GRIN2D/SLC1A2/NDUFB8/GLE1/COX6B1/COX6A2/COX4I1/SDHA/TUBA8/UQCRC1/RAB39B/NDUFA9/NDUFC2/UQCRQ/PSMC1/NDUFA13	114
Metabolism	Energy metabolism	hsa00190	Oxidative phosphorylation	59/1366	138/9446	0.427536231884058	2.9564474717253377	9.5191944522983	4.592858740440163e-16	2.322674277308311e-14	1.3951240083743053e-14	UQCRFS1/SDHB/SDHD/ATP6V0A2/NDUFS4/ATP6V1A/ATP6V1E1/COX15/ATP6V1B2/NDUFS8/NDUFV1/ATP5F1A/NDUFS1/NDUFS2/NDUFA12/NDUFB9/NDUFB3/NDUFA10/MT-ATP8/ATP5F1E/ATP5F1D/MT-ATP6/COX5A/PPA2/ATP6AP1/NDUFB11/NDUFA1/NDUFB10/MT-ND1/MT-ND3/NDUFV2/NDUFS6/NDUFS3/NDUFA11/NDUFS7/NDUFA6/MT-ND2/ATP5PO/NDUFA8/COX11/NDUFA2/COX8A/ATP5MC3/NDUFA4/MT-ND4/MT-ND5/MT-ND6/NDUFB8/COX10/COX6B1/COX6A2/COX4I1/SDHA/UQCRC1/NDUFA9/ATP6V0A1/NDUFC2/UQCRQ/NDUFA13	59
Human Diseases	Neurodegenerative disease	hsa05012	Parkinson disease	91/1366	271/9446	0.33579335793357934	2.3220381105714423	9.079171802132693	7.047254993039748e-16	3.118410334420089e-14	1.8730861955184596e-14	CAMK2G/UQCRFS1/ADCY5/SLC39A14/TUBB2B/TUBA1A/TUBB3/SDHB/TUBB/SDHD/ITPR1/TUBB4B/NDUFS4/CAMK2B/CAMK2A/NDUFS8/NDUFV1/ATP5F1A/NDUFS1/NDUFS2/NDUFA12/NDUFB9/NDUFB3/NDUFA10/PSMB1/MT-ATP8/ATP5F1E/ATP5F1D/MT-ATP6/COX5A/TUBB4A/GNAI1/KIF5A/HTRA2/UBA1/NDUFB11/SLC39A8/NDUFA1/NDUFB10/MT-ND1/MT-ND3/NDUFV2/NDUFS6/NDUFS3/NDUFA11/NDUFS7/NDUFA6/MT-ND2/TH/ATP5PO/SLC18A2/NDUFA8/TUBB2A/PSMD12/PARK7/UCHL1/LRRK2/SNCA/PINK1/PRKN/NDUFA2/COX8A/ATP5MC3/KLC2/NDUFA4/MT-ND4/MT-ND5/MT-ND6/SLC6A3/TP53/KIF5C/SLC25A4/SOD1/EIF2AK3/MFN2/NDUFB8/COX6B1/COX6A2/COX4I1/GNAI3/SDHA/TUBA8/MAPT/UQCRC1/SNCAIP/NDUFA9/TXN2/NDUFC2/UQCRQ/PSMC1/NDUFA13	91
Metabolism	Amino acid metabolism	hsa00280	Valine, leucine and isoleucine degradation	30/1366	48/9446	0.625	4.32192532942899	9.486661726466576	2.4938201305400215e-14	9.80902584679075e-13	5.891832355193969e-13	HMGCL/IVD/HSD17B10/HADHB/HADHA/ALDH3A2/MCCC2/MCCC1/ACADM/HADH/ACAD8/HIBCH/MMUT/ALDH7A1/DLD/ACAT1/BCKDHA/ALDH6A1/ACAT2/ECHS1/ACADS/ACADSB/ABAT/AUH/MCEE/BCKDHB/DBT/PCCA/PCCB/ACSF3	30
Human Diseases	Neurodegenerative disease	hsa05010	Alzheimer disease	113/1366	391/9446	0.289002557544757	1.9984759579559113	8.290914067529858	3.948571717834134e-14	1.3977943881132835e-12	8.39591038949995e-13	CHRNA7/UQCRFS1/MAP2K1/MAP2K2/GRIN2B/CACNA1C/SLC39A14/INS/TUBB2B/TUBA1A/TUBB3/SDHB/NAE1/HSD17B10/CSNK2A1/TUBB/CACNA1S/APC2/SDHD/ITPR1/TUBB4B/GRIN1/NDUFS4/NDUFS8/NDUFV1/ATP5F1A/NDUFS1/NDUFS2/NDUFA12/NDUFB9/NDUFB3/NDUFA10/MTOR/RAF1/KRAS/NRAS/PLCB1/PSMB1/MT-ATP8/ATP5F1E/ATP5F1D/MT-ATP6/COX5A/TUBB4A/PIK3CA/WNT7B/PLCB4/PPP3CA/KIF5A/CTNNB1/LRP5/NDUFB11/BRAF/GRIN2A/SLC39A8/NDUFA1/NDUFB10/MT-ND1/MT-ND3/NDUFV2/NDUFS6/NDUFS3/NDUFA11/NDUFS7/NDUFA6/MT-ND2/HRAS/EIF2AK2/IKBKG/ATP5PO/NDUFA8/TUBB2A/PSMD12/CACNA1D/SNCA/NDUFA2/COX8A/ATP5MC3/KLC2/NDUFA4/MT-ND4/MT-ND5/MT-ND6/KIF5C/PSEN1/PSEN2/APP/SLC25A4/EIF2AK3/APOE/GRIN2D/NDUFB8/APC/COX6B1/COX6A2/COX4I1/MAPK1/SDHA/CSNK2B/TUBA8/PIK3CD/PLCB3/MAPT/UQCRC1/MME/NDUFA9/NDUFC2/UQCRQ/PSMC1/NDUFA13/INSR/PIK3R2/CAPN1	113
