SYMBOL	ENTREZID
MYOT	9499
TET3	200424
KDM5C	8242
CAMK2G	818
SLC30A9	10463
STAG2	10735
POU3F3	5455
DSE	29940
PAX7	5081
XYLT2	64132
CHRNE	1145
GFPT1	2673
CHRNA7	1139
DNM1L	10059
CHRNA1	1134
SETD5	55209
GLDC	2731
DIAPH1	1729
GAMT	2593
CHAMP1	283489
RPGRIP1L	23322
NPHP1	4867
TMEM237	65062
ATP1A2	477
AHDC1	27245
EXTL3	2137
AFG2A	166378
MEGF10	84466
AHI1	54806
INPP5E	56623
CEP120	153241
MKS1	54903
CEP41	95681
ERCC8	1161
GNPTAB	79158
YRDC	79693
TSHR	7253
TSHB	7252
CUBN	8029
AMN	81693
TRMU	55687
HNRNPK	3190
RIN2	54453
AFG2B	79029
FGFR3	2261
VLDLR	7436
TOMM7	54543
UQCRFS1	7386
SCO2	9997
UQCC3	790955
NDST1	3340
SMARCD1	6602
NEFL	4747
PMM2	5373
B4GALT7	11285
CLCNKA	1187
CLCNKB	1188
NGLY1	55768
PPM1D	8493
TRMT1	55621
PRKG2	5593
UBE4A	9354
CWF19L1	55280
MAP2K1	5604
FUCA1	2517
FBP1	2203
ADCY5	111
TBL1XR1	79718
MAP2K2	5605
BCAS3	54828
RALGAPA1	253959
B4GAT1	11041
FDXR	2232
ADAT3	113179
GRIN2B	2904
LGI4	163175
WLS	79971
TWNK	56652
MEF2C	4208
CACNA1C	775
GPC4	2239
GPC3	2719
LMNA	4000
VAMP1	6843
FCSK	197258
MICOS13	125988
NIPBL	25836
MACF1	23499
MRPL39	54148
GLS	2744
PYGL	5836
GBA1	2629
PRUNE1	58497
CUX1	1523
FAR1	84188
PURA	5813
RAP1B	5908
CASP2	835
TRPS1	7227
DDR2	4921
HMGCL	3155
ALDH5A1	7915
HERC1	8925
MVK	4598
SLC39A14	23516
ARFGEF2	10564
CASK	8573
DPAGT1	1798
NUP133	55746
TMEM216	51259
GFER	2671
FBN1	2200
MRPS22	56945
IVD	3712
PPP2CA	5515
NFASC	23114
TSEN15	116461
PSAP	5660
POLR1A	25885
ZDHHC9	51114
UPF3B	65109
MED12	9968
KCNJ11	3767
STAT3	6774
GCK	2645
PDX1	3651
ABCC8	6833
INS	3630
ZFP57	346171
HYMAI	57061
PLAGL1	5325
SELENON	57190
COLGALT1	79709
RERE	473
TUBB2B	347733
TUBA1A	7846
TUBB3	10381
RAB3GAP1	22930
ANAPC7	51434
SMARCC2	6601
NSD2	7468
RNU12	267010
VWA1	64856
HCFC1	3054
EN1	2019
HNRNPC	3183
GET4	51608
PTS	5805
PCGF2	7703
COL1A1	1277
TKT	7086
SDHB	6390
GTPBP3	84705
SATB1	6304
NAE1	8883
HEPACAM	220296
HSD17B10	3028
KCNK4	50801
PUS3	83480
POLR3GL	84265
VAC14	55697
RAPSN	5913
ZBTB11	27107
HADHB	3032
HADHA	3030
ACACA	31
FKTN	2218
TRPM3	80036
CSNK2A1	1457
TRIO	7204
TRIP4	9325
TUBB	203068
GUF1	60558
TNRC6B	23112
GABRG2	2566
TTC5	91875
PRODH	5625
AGR2	10551
B3GALT6	126792
PEX26	55670
PEX19	5824
PEX2	5828
PEX3	8504
PEX16	9409
PEX6	5190
PEX11B	8799
PEX5	5830
PEX1	5189
PEX12	5193
PEX13	5194
PEX14	5195
PEX10	5192
PHYH	5264
PEX7	5191
NBAS	51594
SYNGAP1	8831
NANS	54187
EIF2S3	1968
CACNA1S	779
TMEM163	81615
ATP9A	10079
CCDC78	124093
GOLGA2	2801
PNP	4860
NMNAT1	64802
MFF	56947
PHKA2	5256
POC1A	25886
HECTD4	283450
BMPER	168667
SIL1	64374
FOXF1	2294
CUL4B	8450
SLC6A8	6535
NBEA	26960
SC5D	6309
KIFBP	26128
PRPS1	5631
BMP4	652
MTO1	25821
CACNA2D1	781
FZR1	51343
SLC52A2	79581
NSD1	64324
APC2	10297
UBE3B	89910
ATXN2	6311
SDHD	6392
LMBRD1	55788
ZNF592	9640
WDR73	84942
ALDH3A2	224
FLII	2314
IQSEC2	23096
RAI1	10743
DEAF1	10522
DHCR7	1717
NEU1	4758
CKAP2L	150468
RET	5979
ASCL1	429
PHOX2B	8929
SETD2	29072
KIF26A	26153
COG1	9382
TNNC2	7125
CNTN1	1272
DARS2	55157
TBCK	93627
PAX6	5080
ITPR1	3708
TMEM165	55858
KCNMA1	3778
GOSR2	9570
MCCC2	64087
ATRX	546
CRLS1	54675
SCUBE3	222663
BUB3	9184
BUB1	699
CEP57	9702
TRIP13	9319
BUB1B	701
ZNF292	23036
UBR7	55148
CYP24A1	1591
ATP6V0A2	23545
PNKP	11284
NTRK2	4915
MCCC1	56922
VIPAS39	63894
SIN3A	25942
ALG8	79053
SERAC1	84947
SLC52A3	113278
HS2ST1	9653
KCNJ13	3769
RD3	343035
RDH12	145226
CRX	1406
RPGRIP1	57096
CEP290	80184
TUBB4B	10383
IFT140	9742
USP45	85015
RPE65	6121
CRB1	23418
PCYT1A	5130
IQCB1	9657
GDF6	392255
AIPL1	23746
GUCY2D	3000
LRAT	9227
SPATA7	55812
TULP1	7287
LCA5	167691
IMPDH1	3614
NR2F1	7025
