gene	degree	betweenness	clustering	module
XYLT2	23	2.98921737921341e-4	0.4426877470355732	13
ERCC1	62	0.0011796800222616318	0.3643574828133263	4
PIGQ	29	6.550428916130005e-4	0.5098522167487685	12
B4GALT7	40	0.001410312287114539	0.21666666666666665	13
COX15	85	0.0013082377032126084	0.32745098039215687	6
HSD17B10	56	0.001574316022594887	0.18181818181818182	3
UQCRC1	111	0.0012985712455123363	0.38230958230958234	6
MRPS34	44	5.100451760588699e-4	0.3192389006342495	7
DLD	94	0.0015166824824473023	0.2880347746511096	6
NANS	31	9.95276597890679e-4	0.12473118279569892	3
STX1B	60	9.957451365442897e-4	0.276271186440678	5
SNAP29	41	7.144140571746103e-4	0.2890243902439024	8
TRIP13	48	0.0018326712568444551	0.15514184397163122	1
ATP5F1D	116	0.0017861291344959368	0.3365817091454273	6
SLC25A1	42	0.001746960704155686	0.19628339140534262	1
SPG21	43	3.4670853199652327e-4	0.5448504983388704	8
LZTR1	29	3.81873661336182e-4	0.2733990147783251	2
MAPK1	118	0.0037999050114127194	0.2025206431986093	2
OTC	42	0.001125336489083318	0.14750290360046459	3
PIGB	31	1.960011653942478e-4	0.5440860215053764	12
SUPT16H	69	0.001051332360397926	0.2911338448422848	4
ACTL6B	54	8.66036927037122e-4	0.25157232704402516	4
EEF1A2	33	5.332424409114807e-4	0.26704545454545453	7
OTUD5	13	8.562013238043467e-4	0.23076923076923075	1
ARSA	26	5.453801086808144e-4	0.1723076923076923	3
TXN2	16	4.7843656669807685e-5	0.3333333333333333	6
AP4S1	52	9.517405516634207e-4	0.3944193061840121	8
AAAS	22	0.001009183416313881	0.45454545454545453	1
SLC2A3	21	1.5934533687978275e-4	0.3190476190476191	2
ABCD1	35	4.260587656584179e-4	0.41008403361344536	3
RFC2	70	0.0024086660566977657	0.2136645962732919	4
KIF22	30	4.020597960023813e-4	0.2873563218390805	1
EXOSC5	24	3.0269891208459097e-4	0.17753623188405795	1
OSGEP	39	0.0014251305791530735	0.18488529014844804	7
TG	29	5.562932362176162e-4	0.27586206896551724	2
ASNS	52	0.0013644052241850158	0.20965309200603316	3
TCN2	24	4.0018838279438744e-4	0.30434782608695654	3
ITGA3	34	5.180911300242086e-4	0.30124777183600715	11
SOS2	33	2.2815357468700147e-4	0.4640151515151515	2
PON1	16	2.4856927229848e-4	0.225	2
ACO2	125	0.003064877640495749	0.25625806451612904	6
PLOD1	52	0.0016303448897017957	0.22699849170437406	11
SLC32A1	85	0.0011985342323095982	0.3036414565826331	5
PYGL	36	0.0011497846302737581	0.15396825396825398	3
STX1A	94	0.00391916425194474	0.1477922672157401	5
CDK13	23	6.612062999009149e-4	0.2213438735177866	4
RNASEH2A	41	0.0012294752697890661	0.18048780487804877	1
PIGH	28	5.822634297519878e-4	0.4973544973544974	12
RALA	31	9.048080583929416e-4	0.22580645161290322	2
TMEM147	11	2.489552285813915e-4	0.10909090909090909	3
TGFB1	63	0.0015923460351695566	0.3087557603686636	2
LAMB1	43	5.797376193615274e-4	0.3001107419712071	11
AEBP1	11	1.3888395654952973e-4	0.4	11
OSTM1	14	1.7523211358124062e-4	0.1868131868131868	2
OGDH	87	8.881433510197928e-4	0.3352044907778669	6
PDHX	69	7.54023870056365e-4	0.41091219096334186	6
CYP24A1	15	2.323582414750623e-4	0.3619047619047619	3
VRK1	37	7.816499806543571e-4	0.1951951951951952	1
AGO2	88	0.0034120836766329534	0.1815569487983281	1
GCK	51	0.0013198347996270635	0.1992156862745098	3
AHCY	45	6.206277227731745e-4	0.22828282828282828	3
MTFMT	50	4.939919444466316e-4	0.3991836734693877	7
PFN1	44	5.663662126283547e-4	0.21987315010570826	2
SLC5A5	17	7.765677901359476e-5	0.5367647058823529	2
CRX	29	6.234766839639282e-4	0.3522167487684729	9
GDAP1	47	0.0010658110109893395	0.20259019426456987	3
SETX	77	0.002554737246550493	0.16199589883800408	1
GOSR2	47	8.053184861945688e-4	0.31822386679000925	8
COL1A1	72	0.0018464939129947055	0.29577464788732394	11
STAG2	66	6.100373081359215e-4	0.317016317016317	4
STUB1	64	0.002459283341464516	0.2490079365079365	1
USP18	14	1.43997992176784e-4	0.19780219780219782	1
STN1	30	6.393966762180573e-4	0.34942528735632183	4
MLH1	79	8.852634612508513e-4	0.3424212917883804	4
SLC25A3	63	7.788168554413071e-4	0.41781874039938555	6
TULP1	29	2.4187028279591916e-4	0.5073891625615764	9
DHPS	8	1.4897762273511766e-5	0.35714285714285715	3
MSH2	77	0.0013107693824916035	0.3253588516746411	4
FIG4	51	0.0012275790885741262	0.2337254901960784	2
RARS1	59	0.0016979377884098687	0.402104032729398	7
TPI1	125	0.005073620784662894	0.1669677419354839	3
NDUFS7	111	7.993643044974924e-4	0.4434070434070434	6
NUP107	36	6.663501598524758e-4	0.2603174603174603	1
SPARC	42	4.5612399953678603e-4	0.4146341463414634	11
FKTN	35	8.152030411778179e-4	0.39663865546218485	10
MYL2	34	6.891729782099476e-4	0.3155080213903743	2
FILIP1	5	1.6057844855637608e-4	0	11
NDUFB3	72	2.1341071533241684e-4	0.647887323943662	6
ATIC	63	0.0016771322711319828	0.17255504352278545	3
PUS3	26	2.5550746283430667e-4	0.4307692307692308	7
FASTKD2	30	1.724434563874931e-4	0.3563218390804598	7
PHOX2B	17	4.846471565799732e-5	0.3014705882352941	2
MFN2	84	0.002404741378083845	0.18473895582329317	3
BBS9	41	2.3614380988034355e-4	0.6097560975609756	9
GCDH	37	4.7345728562704517e-4	0.3978978978978979	3
FA2H	75	0.003027831631614393	0.21585585585585584	8
CEP41	31	9.17433078513495e-5	0.8408602150537635	9
IFT81	24	2.3810084076194334e-4	0.4782608695652174	9
SPR	20	1.7582418170405533e-4	0.2157894736842105	3
CPSF3	30	3.6962932350409423e-4	0.19770114942528735	1
WARS2	50	3.6101626463867905e-4	0.5526530612244898	7
PQBP1	20	3.0772841451931927e-4	0.12105263157894736	1
CLCN6	29	5.974822126139233e-4	0.270935960591133	1
ACADS	50	4.4714748761703866e-4	0.3869387755102041	3
TBX4	12	4.494665879933064e-5	0.30303030303030304	2
TGFB3	43	4.524612322985727e-4	0.36212624584717606	2
BMP4	90	0.0017526995296107879	0.2651685393258427	2
MYF6	19	1.4242678713597022e-4	0.3157894736842105	2
MYOT	39	6.220700994477021e-4	0.2968960863697706	2
TARDBP	103	0.00285729527228717	0.24957167332952598	3
BBS2	42	2.743919396974109e-4	0.5853658536585366	9
ATP5F1E	65	5.058456169434033e-4	0.48653846153846153	6
EFNB1	25	6.08322112346701e-5	0.3933333333333333	2
PIK3R2	64	7.387625700453969e-4	0.3239087301587302	2
COX6B1	74	2.5179789312338753e-4	0.5908922621251389	6
PEX16	34	2.828815163449012e-4	0.46524064171123	3
AARS2	67	6.754281730319297e-4	0.43057440072365444	7
EXOC2	30	6.570462552060431e-4	0.25517241379310346	8
MOGS	43	0.001067010156052664	0.2591362126245847	10
EGR2	39	6.36782216797743e-4	0.29824561403508776	2
SOX9	94	0.0017535462128076152	0.25348890414092884	2
MYH2	27	3.8138825227819923e-4	0.44159544159544156	2
PIGU	17	6.43518983373971e-6	0.8823529411764706	12
PIGL	27	4.01620708564217e-4	0.5669515669515669	12
RTN2	46	5.702744418256695e-4	0.48309178743961356	8
NSRP1	8	7.196075096297709e-5	0	1
MRM2	31	2.859654529744602e-4	0.35913978494623655	7
