from	to	score
AAAS	AGO2	901
AAAS	CPSF3	907
AAAS	GCK	900
AAAS	GEMIN4	902
AAAS	GEMIN5	902
AAAS	GLE1	959
AAAS	HDAC4	903
AAAS	HIKESHI	901
AAAS	HNRNPC	914
AAAS	IPO8	902
AAAS	NUP214	910
AARS1	CARS1	909
AARS1	DARS1	956
AARS1	EPRS1	988
AARS1	FARS2	918
AARS1	GARS1	996
AARS1	IARS1	991
AARS1	IARS2	951
AARS1	KARS1	980
AARS1	LARS1	984
AARS1	MARS1	967
AARS1	PARS2	930
AARS1	QARS1	969
AARS1	SARS2	900
AARS1	TARS1	920
AARS1	TARS2	904
AARS1	VARS2	929
AARS1	WARS1	902
AARS1	YARS1	991
AARS1	YARS2	955
AARS2	DARS1	928
AARS2	EPRS1	977
AARS2	GARS1	906
AARS2	IARS2	920
AARS2	YARS1	933
AASS	ALDH7A1	972
ABAT	ALDH6A1	962
ABAT	ALDH7A1	986
ABCB7	GLRX5	901
ABCC8	KCNJ11	999
ABCC9	KCNJ11	992
ABCD1	ALDH3A2	924
ABCD1	ATAD1	935
ABCD1	GDAP1	915
ABCD1	PEX11B	974
ABCD1	PEX12	969
ABCD1	PEX13	979
ABCD1	PEX14	960
ABCD1	PEX16	965
ABCD1	PEX19	993
ABCD1	PEX2	936
ABCD1	PEX26	945
ABCD1	PEX3	953
ABCD4	LMBRD1	959
ACAD8	ACADSB	900
ACAD8	BCKDHB	931
ACAD8	DBT	925
ACAD8	ECHS1	949
ACAD8	HADHA	940
ACAD9	HADHA	954
ACAD9	MT-ND6	974
ACAD9	NDUFA13	997
ACAD9	NDUFAF3	998
ACAD9	NDUFAF5	942
ACAD9	NDUFS2	998
ACAD9	TIMMDC1	998
ACAD9	TMEM126B	996
ACADM	ETFA	980
ACADM	HADH	907
ACADM	TBL1XR1	906
ACADS	ACAT1	976
ACADS	ACAT2	966
ACADS	ALDH6A1	975
ACADS	DBT	907
ACADS	ECHS1	992
ACADS	HADHA	984
ACADS	HADHB	983
ACADS	PCCA	954
ACADS	PCCB	931
ACADSB	DBT	907
ACADSB	HADHA	966
ACAT1	ACACA	933
ACAT1	ACADSB	969
ACAT1	ACAT2	906
ACAT1	ACOX1	947
ACAT1	ALDH6A1	932
ACAT1	DLAT	970
ACAT1	HADH	912
ACAT1	HADHA	986
ACAT1	HADHB	938
ACAT1	HMGCL	963
ACAT2	ACACA	929
ACAT2	ACADSB	965
ACAT2	ALDH6A1	924
ACAT2	HADHA	970
ACAT2	HMGCL	940
ACO2	ATP5F1A	986
ACO2	BCS1L	923
ACO2	FH	994
ACO2	GOT2	947
ACO2	HSPD1	963
ACO2	IDH1	978
ACO2	IDH2	982
ACO2	MDH2	984
ACO2	NDUFA10	902
ACO2	NDUFS1	903
ACO2	OGDH	944
ACO2	PDHB	968
ACO2	SDHA	961
ACO2	SDHB	956
ACO2	SLC25A4	962
ACO2	SUCLA2	920
ACO2	SUCLG1	959
ACO2	TIMM22	923
ACO2	TOMM40	955
ACO2	TOMM7	917
ACO2	TPI1	940
ACO2	UQCRFS1	933
ACOX1	ACADVL	936
ACOX1	ACAT2	946
ACOX1	ACSL4	958
ACOX1	ALDH6A1	925
ACOX1	AMACR	960
ACOX1	CPT2	982
ACOX1	CRAT	972
ACOX1	DBT	907
ACOX1	ECHS1	955
ACOX1	GNPAT	974
ACOX1	HADHA	971
ACOX1	HADHB	959
ACOX1	HMGCL	944
ACOX1	HSD17B4	991
ACOX1	IDH1	934
ACOX1	MPV17	900
ACOX1	PCCA	925
ACOX1	PCCB	918
ACOX1	PEX5	949
ACOX1	TBL1XR1	903
ACSF3	ACACA	937
ACSL4	ELOVL1	912
ACTA1	ACTN2	968
ACTA1	AGRN	928
ACTA1	CAPN1	908
ACTA1	CDC42	954
ACTA1	DAG1	914
ACTA1	DIAPH1	915
ACTA1	LAMA1	904
ACTA1	LAMA2	930
ACTA1	LAMB2	900
ACTA1	SPTAN1	960
ACTB	ACTN2	974
ACTB	CDC42	953
ACTB	CUL4B	920
ACTB	DMD	905
ACTB	NF1	940
ACTB	POLR2A	994
ACTB	SMARCA4	999
ACTB	SMARCD1	987
ACTB	SPTBN2	915
ACTB	TBP	912
ACTB	TRRAP	955
ACTL6B	ARID1A	940
ACTL6B	ARID1B	924
ACTL6B	ARID2	977
ACTL6B	DPF2	966
ACTL6B	SMARCA2	986
ACTL6B	SMARCA4	982
ACTL6B	SMARCB1	986
ACTL6B	SMARCC2	977
ACTL6B	SMARCD1	989
ACTL6B	SMARCE1	966
ACTL6B	TRRAP	940
ACTN2	GRIA3	908
ACTN2	GRIN2B	962
ACTN2	TTN	999
ADAM22	LGI3	937
ADAM22	LGI4	984
ADAMTS2	ADAMTSL2	930
ADAMTS2	COL11A1	946
ADAMTS2	COL1A2	977
ADAMTS2	COL2A1	945
ADAMTS2	COL5A1	972
ADAMTS2	COL5A2	982
ADAMTS2	SEMA5A	903
ADAMTSL2	SEMA5A	900
ADAR	RBMX	929
ADCY6	ADCY5	907
ADCY6	EDN1	911
ADCY6	GNAI1	940
ADCY6	GNAI3	930
ADGRL1	SLC35A1	922
ADK	ADSL	979
ADK	AMPD1	964
ADK	ENTPD1	969
ADK	NT5C2	942
ADK	PDE10A	906
ADK	PDE2A	909
ADK	PDE4D	913
ADK	PNP	981
ADNP	SMARCA4	905
AFG3L2	LONP1	928
AFG3L2	NDUFA13	925
AFG3L2	PMPCA	959
AFG3L2	TIMMDC1	913
AGK	CAMK2A	900
AGK	CAMK2B	903
AGO1	CHD1	910
AGO1	DDX6	997
AGO1	KMT2A	915
AGO1	KMT2B	915
AGO1	MECP2	911
AGO1	SIN3A	907
AGO1	TNRC6B	975
AGO1	TRIM32	964
AGO2	AGO1	976
AGO2	CHD1	909
AGO2	CLP1	907
