gene	degree	betweenness	clustering	module
CRX	17	0.004401488729137367	0.8382352941176471	4
KCNQ1	5	0.004275425898034166	0.1	8
TULP1	21	0.0010042943727767378	0.7333333333333333	4
CEP41	28	1.9347004761641532e-4	0.9312169312169312	1
ASNS	6	0.022384410311061472	0.2	13
CPSF3	6	0.005294924583371287	0.26666666666666666	6
BMP4	14	0.03095530509292356	0.14285714285714285	8
KCNJ13	15	0.007807995667791163	0.7428571428571429	4
FIG4	6	0.005882322685368431	0.26666666666666666	2
SOX4	4	0.0066895079081328804	0.3333333333333333	24
RAP1B	5	5.840767707348933e-5	0.9	2
PI4KA	8	0.00502165650021903	0.35714285714285715	2
B9D2	40	0.01223008080753662	0.6410256410256411	1
VPS4A	5	0.001034694883936802	0.5	3
ATP6V1E1	4	0.007840163028397277	0.5	14
TMEM231	34	0.0010753412092090531	0.8092691622103387	1
FKTN	14	0.00751897660094004	0.8571428571428571	7
IFT172	42	0.016465125401075444	0.6062717770034843	1
ARL3	15	0.0011336824719813158	0.7238095238095238	1
RXYLT1	14	0.0033171356862174033	0.8571428571428571	7
B9D1	41	0.018879178379167423	0.6414634146341464	1
THOC2	7	0.002823966713963561	0.3333333333333333	6
KATNIP	19	1.0163766572690328e-4	0.8888888888888888	1
GUCY2D	18	8.486491100462551e-4	0.8366013071895424	4
DPH2	3	0.002391680291488088	0.3333333333333333	12
H3-3A	10	0.0016645945501347816	0.5111111111111111	2
KRAS	25	0.04388802651836478	0.26333333333333336	2
SMARCB1	21	0.016987020233151455	0.36666666666666664	2
POMT2	14	0.0017619114519368104	0.8681318681318682	7
SRD5A3	2	0	1	14
ATP6V1A	3	0	1	14
PIGU	3	0	1	20
SMG9	3	0.004348150322372043	0	30
CSPP1	33	0.007548709381462056	0.7537878787878788	1
EXOC2	9	0.01981653912532699	0.19444444444444445	10
TRIP13	18	0.05162227927717349	0.2549019607843137	3
WARS2	3	0.0018288971079468642	0.3333333333333333	11
CEP164	35	0.016123248936874328	0.5630252100840336	1
TMEM138	34	0.001267350987256902	0.7825311942959002	1
ZIC1	6	0.011424212523686696	0.26666666666666666	15
TAF4	7	0.010740601825371211	0.09523809523809523	6
LAMB1	7	0.0033666130340718053	0.4761904761904762	5
PMM2	7	0.009439676080276392	0.14285714285714285	10
VPS51	4	0.003922570627146276	0.3333333333333333	10
TUBB2B	13	0.009534215434438758	0.3974358974358974	3
ATP6V1B2	6	0.008201850315989238	0.26666666666666666	14
SASS6	8	0.00232240164732333	0.2857142857142857	1
BUB1B	15	0.013254361323258902	0.33333333333333337	3
PDE6D	32	0.04704026564934104	0.5443548387096774	1
CEP120	34	0.006720235635911661	0.5864527629233511	1
COG1	6	0.011584126616458353	0.2	10
ATP2B3	3	8.014774802998653e-4	0.3333333333333333	9
LETM1	1	0	0	9
BUB1	15	0.01599012365322471	0.33333333333333337	3
RAPSN	7	9.574318201283807e-4	0.38095238095238093	5
GMPPB	18	0.01363084725144042	0.5359477124183006	7
RPE65	17	1.0688110710723611e-4	0.9264705882352942	4
TCTN2	34	8.997017065228164e-4	0.7985739750445633	1
EVC	12	3.412301685643296e-4	0.7727272727272727	1
IQCB1	43	0.02687805545503479	0.46843853820598	4
IFT80	27	8.467500153237879e-4	0.7094017094017093	1
NPHP1	43	0.019291350502446538	0.548172757475083	1
PPP1R21	1	0	0	33
VPS35L	2	0	1	22
TUBA1A	17	0.01838452394508041	0.33088235294117646	3
SMARCC2	12	3.420764904650429e-4	0.6666666666666666	2
