from	to	score
AHI1	CC2D2A	990
AHI1	CEP290	987
AHI1	MKS1	952
AHI1	RPGRIP1L	929
AHI1	TCTN1	955
AHI1	TCTN3	928
AHI1	TMEM216	956
AHI1	TMEM67	985
ARID1A	ARID1B	988
ARID1A	DPF2	996
ARID1A	SMARCA4	999
ARID1A	SMARCD1	999
ARID1A	SMARCE1	999
ARID1B	DPF2	986
ARID1B	SMARCA4	999
ARID1B	SMARCD1	997
ARID2	SMARCA4	999
ARID2	SMARCD1	996
ARL13B	IFT74	929
ARL3	PDE6D	991
ASNS	GOT2	961
ASXL1	PCGF2	913
ATP6V1A	ATP6V0A2	987
ATP6V1A	ATP6V1B2	999
ATP6V1B2	ATP6V0A2	981
ATP6V1E1	ATP6V0A2	977
ATP6V1E1	ATP6V1A	999
ATP6V1E1	ATP6V1B2	999
B3GALNT2	DAG1	966
B4GAT1	LARGE1	938
B9D1	AHI1	966
B9D1	CC2D2A	992
B9D1	CEP290	964
B9D1	MKS1	945
B9D1	TCTN1	977
B9D1	TCTN2	970
B9D1	TCTN3	957
B9D1	TMEM107	901
B9D1	TMEM216	988
B9D1	TMEM67	977
B9D2	AHI1	955
B9D2	B9D1	988
B9D2	CC2D2A	980
B9D2	CEP290	935
B9D2	MKS1	933
B9D2	TCTN1	989
B9D2	TCTN2	962
B9D2	TCTN3	942
B9D2	TMEM216	981
B9D2	TMEM231	991
B9D2	TMEM67	970
BICD2	PAFAH1B1	958
BICD2	RAB18	901
BICD2	RAB3GAP1	900
BICD2	RAB3GAP2	912
BUB1	BUB3	999
BUB1	CENPF	998
BUB1	KIF14	902
BUB1	KNL1	999
BUB1B	BUB1	998
BUB1B	BUB3	999
BUB1B	CENPF	997
BUB1B	KNL1	999
CC2D2A	CEP290	996
CC2D2A	TCTN3	951
CC2D2A	TMEM216	981
CDC42	DAG1	916
CDC42	ROBO1	948
CENPF	KIF14	926
CEP120	KIAA0586	903
CEP164	ATR	926
COG1	COG8	999
CPSF3	NUP37	918
CPSF3	NUP88	913
CPSF3	PPP1CB	930
CSF1R	HRAS	953
DOK7	MUSK	997
DPH1	DPH5	984
DPH2	DPH1	998
DPH2	DPH5	982
DYNC1H1	BICD2	989
DYNC1H1	DYNC2I2	901
DYNC1H1	PAFAH1B1	999
DYNC1H1	RAB18	908
DYNC1H1	RAB3GAP1	911
DYNC1H1	RAB3GAP2	917
DYNC2H1	DYNC2I1	990
DYNC2H1	IFT140	957
DYNC2H1	NEK1	913
DYNC2I2	DYNC2H1	993
DYNC2I2	DYNC2I1	996
EVC	EVC2	993
EVC	GLI3	950
EVC	SUFU	955
EVC2	GLI3	942
EVC2	SUFU	952
EXOC2	ARHGEF2	944
EXOC2	RAC1	943
FGFR1	HRAS	981
FIG4	MTM1	967
FKRP	POMT1	915
FKTN	CRPPA	990
FKTN	FKRP	992
FKTN	POMGNT1	974
FKTN	POMK	985
FKTN	POMT1	956
FKTN	POMT2	950
FKTN	RXYLT1	908
GEMIN4	NUP37	902
GEMIN4	NUP88	904
GLI3	DYNC2H1	945
GOT2	MDH1	978
GPC3	IGF2	990
GUCY2D	RD3	916
H3-3A	CCDC32	948
H3-3A	SMARCA4	934
HNRNPH1	HNRNPR	996
IFT172	DYNC2H1	966
IFT172	GLI3	954
IFT172	IFT140	983
IFT172	IFT74	979
IFT172	IFT80	911
IFT172	SUFU	981
IFT172	WDR35	939
IFT74	IFT140	963
IFT80	DYNC2H1	979
IFT80	IFT140	987
IFT80	IFT74	984
IFT80	WDR35	968
INPP5E	ARL13B	926
INPP5E	PTEN	918
IQCB1	CEP290	998
KIF7	GLI3	962
KNL1	BUB3	992
KRAS	FGFR1	979
KRAS	HRAS	989
KRAS	NRAS	984
KRAS	PTEN	921
KRAS	RAC1	940
LAMA1	CDC42	906
LAMA1	DAG1	996
LAMB1	CDC42	906
LAMB1	DAG1	958
LAMB1	LAMA1	953
LAMB1	RAC1	901
LAMB1	RAPSN	909
LRAT	RDH12	975
MKS1	CC2D2A	985
MKS1	CEP290	976
MKS1	GLI3	922
MKS1	TCTN1	979
MKS1	TCTN3	971
MKS1	TMEM216	983
MKS1	TMEM67	992
