gene	score
RAC1	0.015194406081822728
DAG1	0.012179668575942715
TUBA1A	0.011959558122499762
DYNC2H1	0.01151439446015614
DYNC1H1	0.01134602455238883
SMARCA4	0.010784574706251488
CDC42	0.010728749787090618
GLI3	0.010186753107532412
SUFU	0.010179502658427486
HRAS	0.009684574317848115
BUB1B	0.009661283038432517
CEP290	0.009248417911241149
MKS1	0.009107759945673057
BUB1	0.009089740533722291
CPSF3	0.0090655218191367
FKTN	0.009065415749365384
LRAT	0.008928544491289747
POLR3A	0.008928544491289747
GOT2	0.008928544491289745
COG8	0.008928544491289745
TAF4	0.008928544491289745
IGF2	0.008928544491289745
POMGNT1	0.008900896294902816
RAPSN	0.008853678111059237
TMEM67	0.00830947214277411
CC2D2A	0.008279185757299443
AHI1	0.008211635001750968
RXYLT1	0.008117984370892685
POMGNT2	0.008092545167665622
IFT172	0.008076746860352056
ATR	0.008056015873084018
TUBB2B	0.008020872539447816
MRE11	0.008009764247066013
POMT1	0.007859847193972003
PAFAH1B1	0.007822182080541258
KRAS	0.0076636793788208615
PTEN	0.00760383239068649
TMEM216	0.0075449375587140904
B9D1	0.007524858858911996
RPGRIP1L	0.007521998065746565
SMARCB1	0.007295556322820085
SMARCE1	0.007294838279278825
SMARCD1	0.007294056669002968
SMARCC2	0.0072939931064693615
PDE6D	0.007197905700901111
POMK	0.007095740931690114
BICD2	0.007034155441436381
POMT2	0.006968453446781191
TCTN2	0.006944026788701619
TMEM231	0.006936229518962925
B9D2	0.006914505276432446
IFT74	0.006707015048379917
ARID1A	0.00650748339345476
DPF2	0.0064966987624842775
ARID1B	0.006496009017764558
IFT140	0.0063769361316069525
TCTN1	0.006366059200100974
LAMA1	0.006362810249723298
LAMB1	0.006335154349588656
IFT80	0.006326180517037925
ATP6V1A	0.006273566405855791
DPH1	0.0062655237469231295
ATP6V1B2	0.006263454742335297
DPH2	0.006260343237967548
ATP6V1E1	0.006256712508434294
GMPPB	0.00625
PMM2	0.00625
HNRNPR	0.00625
PIGU	0.00625
GUCY2D	0.00625
MTM1	0.00625
HNRNPH1	0.00625
TSEN15	0.00625
FIG4	0.00625
VPS35L	0.00625
KIAA0586	0.00625
PSAT1	0.00625
PGAP1	0.00625
PHGDH	0.00625
RD3	0.00625
CCDC22	0.00625
TSEN2	0.00625
TSEN34	0.00625
TSEN54	0.00625
PCGF2	0.00625
ASXL1	0.00625
CEP120	0.00625
DPH5	0.0062241330151093215
WDR35	0.006223230833522856
NRAS	0.006206399227506128
ATP6V0A2	0.006206266343374617
MUSK	0.006185425421126935
INPP5E	0.006156362914824834
GEMIN4	0.006113022672153044
NUP37	0.0061129981275794415
NUP88	0.006105762534057004
CENPF	0.00602808202431499
RAB3GAP1	0.005913070876320979
ARL13B	0.005908809061021288
RAB3GAP2	0.005901082556479979
KNL1	0.005880263217138266
BUB3	0.005880263217138266
RAB18	0.005828813452131123
OFD1	0.005383016244021939
FKRP	0.005257056577155165
B4GAT1	0.005223190634329836
FGFR1	0.0051251808060156605
ARID2	0.005111768954987658
COG1	0.0050485651658163325
DYNC2I2	0.0050207717255442205
GPC3	0.0050171591733315
POLR1A	0.004971227481460151
MDH1	0.004940083026053961
TAF1	0.004939460652802395
RPE65	0.0049312062115683085
MYOD1	0.00492760106663411
RDH12	0.004890249297141946
H3-3A	0.004883697438111387
TUBB	0.004882518894267505
TRRAP	0.004881994855907859
ASNS	0.004881372482656295
TUBB4B	0.0048735730291603
BRF1	0.004850228027250105
TCTN3	0.004839487622082892
PLG	0.004804296335378752
VPS51	0.00477289034289392
TUBB2A	0.004521207105312653
CEP164	0.004490235752933988
PRKDC	0.004443984126915983
EVC	0.004394897605327543
EVC2	0.004383667737943381
KIF14	0.004251709042500665
NPHP1	0.0042035193904102815
B3GALNT2	0.004199968648024988
ARHGEF2	0.004073143193877823
EXOC2	0.004037310014066639
DYNC2I1	0.003854492911388955
PPP1CB	0.0038526948470738055
TMEM107	0.0038515206509395906
DOK7	0.003838599293907122
ROBO1	0.003530803164596969
LARGE1	0.0034743182027145683
MEF2C	0.0034562122511872517
CCDC32	0.0034075100315532608
ARL3	0.0034060022551028954
KIF7	0.003297110366475864
TUBB3	0.003073165060041726
KIF5A	0.0029997416037410877
PI4KA	0.0029947780648192615
TRIP13	0.0029586589267529967
KIAA0753	0.002895558271982389
CSF1R	0.002761330900230441
VLDLR	0.0027514035539672414
MACF1	0.002665294981476699
RAP1B	0.0026067351692855814
CRPPA	0.0025589576037277134
NEK1	0.0024794068237304822
B4GALT1	0.002472327130924509
RPGRIP1	0.0022677800053181865
IQCB1	0.002114220770283841
