from	to	score
ASNS	GOT2	961
B9D2	TMEM231	991
FKTN	RXYLT1	908
B9D2	B9D1	988
TMEM231	B9D1	991
FKTN	POMT2	950
DPH2	DPH1	998
SMARCB1	SMARCC2	999
ATP6V1E1	ATP6V1A	999
ATP6V1E1	ATP6V1B2	999
ATP6V1A	ATP6V1B2	999
TRIP13	BUB1B	953
ARL3	PDE6D	991
LAMB1	RAPSN	909
TUBB2B	TUBA1A	986
BUB1B	BUB1	998
B9D2	TCTN2	962
TMEM231	TCTN2	973
B9D1	TCTN2	970
VPS51	COG8	920
COG1	COG8	999
PMM2	GMPPB	968
RXYLT1	B4GAT1	984
IFT172	IFT80	911
TMEM231	TMEM107	926
B9D1	TMEM107	901
TCTN2	TMEM107	944
IFT172	WDR35	939
IFT80	WDR35	968
TUBA1A	TUBB3	993
SMARCB1	ARID1A	999
SMARCC2	ARID1A	999
SMARCB1	SMARCE1	999
SMARCC2	SMARCE1	999
ARID1A	SMARCE1	999
PRKDC	MRE11	908
FKTN	FKRP	992
RXYLT1	FKRP	986
POMT2	FKRP	911
TSEN2	TSEN54	999
FKTN	POMK	985
RXYLT1	POMK	934
ATP6V1E1	ATP6V0A2	977
ATP6V1A	ATP6V0A2	987
ATP6V1B2	ATP6V0A2	981
SMARCB1	ARID2	997
SMARCC2	ARID2	995
SMARCE1	ARID2	997
BUB1B	KNL1	999
BUB1	KNL1	999
H3-3A	CCDC32	948
RPE65	LRAT	987
TUBA1A	TUBB	973
MYOD1	MEF2C	991
TUBA1A	TUBB4B	968
TUBB	TUBB4B	981
EVC	EVC2	993
CEP164	ATR	926
MRE11	ATR	985
RXYLT1	POMGNT2	943
POMT2	POMGNT2	988
POMK	POMGNT2	943
RAPSN	DOK7	913
SMARCB1	ARID1B	998
SMARCC2	ARID1B	998
ARID1A	ARID1B	988
SMARCE1	ARID1B	997
CEP120	KIAA0586	903
PIGU	PGAP1	964
B4GAT1	LARGE1	938
LAMB1	RAC1	901
EXOC2	RAC1	943
KRAS	RAC1	940
TUBB2B	DYNC1H1	979
TUBA1A	DYNC1H1	978
DYNC1H1	BICD2	989
DYNC1H1	RAB3GAP2	917
BICD2	RAB3GAP2	912
TAF4	TRRAP	982
RAPSN	MACF1	939
EXOC2	ARHGEF2	944
RAC1	ARHGEF2	970
OFD1	KIAA0753	910
TSEN2	TSEN15	998
TSEN54	TSEN15	999
POMK	B3GALNT2	993
POMGNT2	B3GALNT2	996
BUB1B	CENPF	997
BUB1	CENPF	998
GUCY2D	RD3	916
BUB1	KIF14	902
CENPF	KIF14	926
B9D2	AHI1	955
TMEM231	AHI1	930
B9D1	AHI1	966
TCTN2	AHI1	945
NPHP1	AHI1	977
BUB1B	BUB3	999
BUB1	BUB3	999
KNL1	BUB3	992
KRAS	NRAS	984
RAC1	NRAS	935
IFT172	SUFU	981
EVC	SUFU	955
EVC2	SUFU	952
OFD1	SUFU	911
DPH2	DPH5	982
DPH1	DPH5	984
FIG4	MTM1	967
PDE6D	INPP5E	930
PI4KA	PTEN	928
KRAS	PTEN	921
INPP5E	PTEN	918
FKTN	POMGNT1	974
RXYLT1	POMGNT1	924
POMT2	POMGNT1	995
POMGNT2	POMGNT1	989
FKTN	POMT1	956
POMT2	POMT1	905
FKRP	POMT1	915
POMK	POMT1	918
POMGNT2	POMT1	993
POMGNT1	POMT1	995
POLR1A	POLR3A	986
DYNC1H1	DYNC2I2	901
RAPSN	MUSK	999
DOK7	MUSK	997
RAC1	MUSK	914
HNRNPH1	HNRNPR	996
VPS35L	CCDC22	981
PHGDH	PSAT1	999
POMGNT1	B4GALT1	925
NPHP1	RPGRIP1L	988
AHI1	RPGRIP1L	929
SUFU	RPGRIP1L	923
