Term	Grupo
intraciliary transport	CMD exclusivo
intraciliary retrograde transport	CMD exclusivo
positive regulation of smoothened signaling pathway	CMD exclusivo
retina layer formation	CMD exclusivo
negative regulation of mitotic nuclear division	CMD exclusivo
RNA splicing, via endonucleolytic cleavage and ligation	CMD exclusivo
negative regulation of mitotic cell cycle	CMD exclusivo
negative regulation of nuclear division	CMD exclusivo
mitotic cell cycle checkpoint signaling	CMD exclusivo
non-canonical Wnt signaling pathway	CMD exclusivo
mitotic spindle assembly checkpoint signaling	CMD exclusivo
spindle assembly checkpoint signaling	CMD exclusivo
mitotic spindle checkpoint signaling	CMD exclusivo
positive regulation of stem cell population maintenance	CMD exclusivo
spindle checkpoint signaling	CMD exclusivo
negative regulation of sister chromatid segregation	CMD exclusivo
negative regulation of mitotic sister chromatid segregation	CMD exclusivo
negative regulation of mitotic metaphase/anaphase transition	CMD exclusivo
negative regulation of mitotic sister chromatid separation	CMD exclusivo
negative regulation of smoothened signaling pathway	CMD exclusivo
negative regulation of metaphase/anaphase transition of cell cycle	CMD exclusivo
negative regulation of chromosome separation	CMD exclusivo
negative regulation of chromosome segregation	CMD exclusivo
regulation of chromosome separation	CMD exclusivo
metaphase chromosome alignment	CMD exclusivo
regulation of T cell differentiation	CMD exclusivo
negative regulation of mitotic cell cycle phase transition	CMD exclusivo
regulation of mitotic sister chromatid segregation	CMD exclusivo
regulation of lymphocyte differentiation	CMD exclusivo
positive regulation of leukocyte differentiation	CMD exclusivo
positive regulation of hemopoiesis	CMD exclusivo
chromosome separation	CMD exclusivo
regulation of mitotic sister chromatid separation	CMD exclusivo
establishment of chromosome localization	CMD exclusivo
polarized epithelial cell differentiation	CMD exclusivo
mitotic sister chromatid separation	CMD exclusivo
endocytic recycling	CMD exclusivo
regulation of nuclear division	CMD exclusivo
regulation of non-canonical Wnt signaling pathway	CMD exclusivo
Wnt signaling pathway, planar cell polarity pathway	CMD exclusivo
chromosome localization	CMD exclusivo
T cell differentiation	CMD exclusivo
cell cycle checkpoint signaling	CMD exclusivo
regulation of Wnt signaling pathway, planar cell polarity pathway	CMD exclusivo
phosphatidylinositol dephosphorylation	CMD exclusivo
positive regulation of lymphocyte activation	CMD exclusivo
positive regulation of cell adhesion	CMD exclusivo
regulation of cell junction assembly	CMD exclusivo
embryonic forelimb morphogenesis	CMD exclusivo
establishment of epithelial cell polarity	CMD exclusivo
transcription initiation at RNA polymerase I promoter	CMD exclusivo
transcription initiation-coupled chromatin remodeling	CMD exclusivo
transcription preinitiation complex assembly	CMD exclusivo
host-mediated perturbation of symbiont process	CMD exclusivo
nucleosome organization	CMD exclusivo
cortical cytoskeleton organization	CMD exclusivo
negative regulation of cell cycle process	CMD exclusivo
protein localization to postsynaptic specialization membrane	CMD exclusivo
neurotransmitter receptor localization to postsynaptic specialization membrane	CMD exclusivo
positive regulation of gene expression, epigenetic	CMD exclusivo
gap junction assembly	CMD exclusivo
odontoblast differentiation	CMD exclusivo
positive regulation of cell morphogenesis	CMD exclusivo
embryonic camera-type eye development	CMD exclusivo
negative regulation of cell cycle	CMD exclusivo
intraciliary anterograde transport	CMD exclusivo
craniofacial suture morphogenesis	CMD exclusivo
regulation of neurotransmitter receptor localization to postsynaptic specialization membrane	CMD exclusivo
positive regulation of leukocyte activation	CMD exclusivo
vocalization behavior	CMD exclusivo
homeostasis of number of cells within a tissue	CMD exclusivo
positive regulation of T cell activation	CMD exclusivo
positive regulation of BMP signaling pathway	CMD exclusivo
forelimb morphogenesis	CMD exclusivo
amino acid metabolic process	CM exclusivo
generation of precursor metabolites and energy	CM exclusivo
energy derivation by oxidation of organic compounds	CM exclusivo
cellular respiration	CM exclusivo
aerobic respiration	CM exclusivo
neuromuscular process	CM exclusivo
nucleoside phosphate biosynthetic process	CM exclusivo
mitochondrion organization	CM exclusivo
oxidative phosphorylation	CM exclusivo
purine nucleoside triphosphate metabolic process	CM exclusivo
nucleoside triphosphate metabolic process	CM exclusivo
tRNA aminoacylation for protein translation	CM exclusivo
purine ribonucleoside triphosphate metabolic process	CM exclusivo
ribonucleoside triphosphate metabolic process	CM exclusivo
ATP metabolic process	CM exclusivo
purine nucleotide metabolic process	CM exclusivo
tRNA aminoacylation	CM exclusivo
purine-containing compound biosynthetic process	CM exclusivo
ribose phosphate metabolic process	CM exclusivo
purine ribonucleotide metabolic process	CM exclusivo
amino acid activation	CM exclusivo
ribonucleotide metabolic process	CM exclusivo
respiratory electron transport chain	CM exclusivo
NADH dehydrogenase complex assembly	CM exclusivo
mitochondrial respiratory chain complex I assembly	CM exclusivo
mitochondrial respiratory chain complex assembly	CM exclusivo
ATP biosynthetic process	CM exclusivo
purine nucleoside triphosphate biosynthetic process	CM exclusivo
purine ribonucleoside triphosphate biosynthetic process	CM exclusivo
electron transport chain	CM exclusivo
ATP synthesis coupled electron transport	CM exclusivo
mitochondrial ATP synthesis coupled electron transport	CM exclusivo
proton motive force-driven ATP synthesis	CM exclusivo
ribonucleoside triphosphate biosynthetic process	CM exclusivo
nucleoside triphosphate biosynthetic process	CM exclusivo
locomotory behavior	CM exclusivo
proton motive force-driven mitochondrial ATP synthesis	CM exclusivo
cognition	CM exclusivo
regulation of membrane potential	CM exclusivo
mitochondrial electron transport, NADH to ubiquinone	CM exclusivo
purine ribonucleotide biosynthetic process	CM exclusivo
nucleotide biosynthetic process	CM exclusivo
neuron apoptotic process	CM exclusivo
aerobic electron transport chain	CM exclusivo
proton transmembrane transport	CM exclusivo
purine nucleotide biosynthetic process	CM exclusivo
ribose phosphate biosynthetic process	CM exclusivo
ribonucleotide biosynthetic process	CM exclusivo
adult locomotory behavior	CM exclusivo
learning or memory	CM exclusivo
regulation of neuron apoptotic process	CM exclusivo
ensheathment of neurons	CM exclusivo
axon ensheathment	CM exclusivo
myelination	CM exclusivo
water-soluble vitamin metabolic process	CM exclusivo
adult behavior	CM exclusivo
alpha-amino acid metabolic process	CM exclusivo
dolichol-linked oligosaccharide biosynthetic process	CM exclusivo
negative regulation of neuron apoptotic process	CM exclusivo
establishment of protein localization to organelle	CM exclusivo
organic acid catabolic process	CM exclusivo
carboxylic acid catabolic process	CM exclusivo
small molecule catabolic process	CM exclusivo
branched-chain amino acid metabolic process	CM exclusivo
muscle system process	CM exclusivo
peroxisome organization	CM exclusivo
branched-chain amino acid catabolic process	CM exclusivo
peroxisomal membrane transport	CM exclusivo
peroxisomal transport	CM exclusivo
vesicle localization	CM exclusivo
regulation of nervous system development	CM exclusivo
mitochondrial RNA metabolic process	CM exclusivo
protein N-linked glycosylation	CM exclusivo
amide metabolic process	CM exclusivo
vitamin metabolic process	CM exclusivo
protein N-linked glycosylation via asparagine	CM exclusivo
cellular catabolic process	CM exclusivo
response to metal ion	CM exclusivo
membrane lipid metabolic process	CM exclusivo
learning	CM exclusivo
central nervous system neuron development	CM exclusivo
neuromuscular process controlling posture	CM exclusivo
response to oxidative stress	CM exclusivo
glycolipid metabolic process	CM exclusivo
action potential	CM exclusivo
transmission of nerve impulse	CM exclusivo
liposaccharide metabolic process	CM exclusivo
adult walking behavior	CM exclusivo
muscle contraction	CM exclusivo
subpallium development	CM exclusivo
protein import into peroxisome matrix	CM exclusivo
regulation of neurogenesis	CM exclusivo
amino acid catabolic process	CM exclusivo
