gene	degree	betweenness	clustering	module	score
TP53	369	94520.74127641023	0.09896017438435252	2	33.15435249460468
ACTB	340	82111.9336330202	0.09859448204060384	1	29.189361421546405
CTNNB1	297	62825.73482068018	0.10505960505960506	1	23.09151533017586
INS	216	41220.86038728689	0.11248923341946598	1	15.236110282013195
LRRK2	203	39778.89124486555	0.09701019363020046	1	14.474858474269723
EP300	213	24700.869885272703	0.1621489945965099	2	11.068595270355772
HRAS	215	24085.46425966794	0.147228863290589	1	10.979242142855664
PTEN	212	23807.925047742257	0.15510149333810247	1	10.817186857577974
ALDH18A1	151	27341.572066001987	0.10525386313465784	3	9.785137444168384
MAPT	181	21811.020275227576	0.14990791896869246	3	9.357408099448374
EPRS1	161	23057.718917001323	0.14658385093167703	6	9.040763463445678
CDC42	153	23025.917788169165	0.12418300653594772	1	8.783286769999656
NOTCH1	176	18746.66917564443	0.180974025974026	1	8.445704181014662
APP	158	21009.37529163907	0.14109489639603323	1	8.442020043191473
KRAS	193	16450.831556401798	0.1634822970639033	1	8.410013645374649
SOX2	178	17127.199462523557	0.17431600330095856	1	8.108744445778926
POLR2A	154	18828.85861435444	0.15092097445038621	2	7.779477869181726
SDHA	164	14085.74071768156	0.24143348795451144	5	6.92184718738031
SNCA	154	15231.102106012127	0.16730328495034377	3	6.892255334718628
SHH	130	15422.894456067555	0.1778175313059034	1	6.190648982634471
CLTC	113	17018.334644696693	0.11330594184576484	1	6.053618439991544
SOD1	133	14442.085961295072	0.15413533834586468	3	6.042390204416248
CREBBP	158	10894.036422730273	0.21559300169313875	2	5.947533112956883
BDNF	147	12278.98580397026	0.19271270151896375	1	5.9458204107128605
ATM	153	11264.8578332844	0.21706226350189195	2	5.882957801946974
HSPD1	125	14797.169406579338	0.16864516129032256	3	5.880320943795746
ATP5F1A	153	11233.011370288012	0.24441004471964223	5	5.875104324495727
SDHB	144	10637.860153115142	0.2906954156954157	5	5.447498729001381
VCP	119	13738.055074640248	0.1535393818544367	1	5.431912907640047
TUFM	143	10502.650779918533	0.217374175120654	6	5.3829512051025254
MTOR	130	12088.586932962626	0.1983303518187239	1	5.368394123399551
TPI1	125	11810.933832206145	0.1669677419354839	3	5.14390215373705
PARK7	121	12199.147390328257	0.175068870523416	3	5.1148201220479494
HTT	131	10898.9074659177	0.15502055196711684	1	5.106218248425989
SMARCA4	151	7525.5160531749025	0.2631346578366446	2	4.8984111195834625
PIK3CA	142	8478.881106636394	0.21436419938068124	1	4.852676428110518
AR	120	10765.821948556328	0.17717086834733892	2	4.7301514821930475
KDM6A	134	8782.463019896766	0.2579957356076759	2	4.677906663810843
STAT3	132	8889.496625717815	0.21755725190839695	1	4.641893021548521
EZH2	149	6726.585575225281	0.2501360420823508	2	4.638982760768823
SPG7	105	11849.375119989178	0.1793040293040293	3	4.529295954908848
SMAD4	127	8578.398830442557	0.2153480814898138	1	4.409153443531622
PPARGC1A	112	10156.677731345624	0.16328828828828829	1	4.330299450966876
SUCLG1	134	7355.372925240837	0.25014027606329253	5	4.325979987352353
UQCRFS1	139	6655.93827350693	0.29850901887185904	5	4.309517831812869
GFAP	120	9018.824991429288	0.2149859943977591	1	4.299334370360283
MAPK1	118	8864.378597444394	0.2025206431986093	1	4.198838613313009
IDH1	112	9379.487614518262	0.222007722007722	1	4.138640959456302
KIF5A	104	10138.15497738988	0.18876026885735625	7	4.076097263003392
ITPR1	100	10642.188274307018	0.1412121212121212	1	4.075576886878337
YARS1	113	8685.933963532945	0.22076485461441217	6	3.9988118866958193
ACO2	125	7142.053767957274	0.25625806451612904	5	3.992535852515151
CCT5	97	10674.824811284912	0.14239690721649484	2	3.990012301689191
CACNA1A	108	9238.877980220628	0.2232606438213915	4	3.979148809135329
SNAP25	118	7774.637307162581	0.23163841807909605	4	3.9301036316011992
LMNA	101	9746.937807803844	0.14495049504950497	1	3.886008494783167
H4C5	131	5502.327025556579	0.21233118027011155	2	3.7753978428123673
H4C9	131	5502.327025556579	0.21233118027011155	2	3.7753978428123673
H4C11	131	5502.327025556579	0.21233118027011155	2	3.7753978428123673
H4C3	131	5502.327025556579	0.21233118027011155	2	3.7753978428123673
GRIA2	108	8291.730328223573	0.24766355140186916	4	3.7455780440301645
AFG3L2	104	8767.757394118427	0.1837191934279313	3	3.7381512085016633
NF1	122	6450.077012938645	0.23411461861536376	1	3.728278451416954
BPTF	111	7598.65057243169	0.2434070434070434	2	3.6682744348024805
MDH2	117	6693.349189107476	0.26142057176539935	3	3.6322489397856987
STX1A	94	9140.58033400232	0.1477922672157401	4	3.518047986153973
GAD1	100	8375.721515387084	0.20949494949494948	1	3.516656243565592
RAC1	100	8251.433952395975	0.1622222222222222	1	3.4860063854155134
ACTA1	92	8911.68832413543	0.16746297181079792	1	3.3991936137169856
GRIN1	108	6838.736244007874	0.2267220491519557	4	3.387263330133167
TBP	106	7055.923827896494	0.2041329739442947	2	3.3784141419898734
NDUFS8	124	4688.9023876862675	0.3739837398373983	5	3.3563736633418566
COX4I1	117	5535.732035860986	0.34173297966401417	5	3.34677547256806
NDUFS3	129	3963.593813379369	0.3815406976744186	5	3.3335308850146754
NOP56	81	9820.17403328801	0.1429012345679012	6	3.2799828802002033
