ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0006520	amino acid metabolic process	120/2160	283/18805	0.42402826855123676	3.6915979583824106	16.434994577504952	1.6944567463195813e-40	1.3345541334013023e-36	9.33378121420039e-37	GLDC/GLS/HMGCL/ALDH5A1/IVD/INS/PTS/HSD17B10/PRODH/DARS2/MCCC2/MCCC1/SMS/VARS1/ACAD8/DPYD/OCA2/CAD/IARS2/ALDH18A1/OTC/ASPA/PYCR2/NDP/KARS1/SARS2/HIBCH/MMUT/P4HB/ACY1/VARS2/DLD/ASNS/MTRR/CPS1/MARS1/ACAT1/YARS1/ATCAY/GCSH/IARS1/ATP7A/MTR/RARS2/PYCR1/QDPR/FARS2/BCKDHA/SLC1A3/FARSB/YARS2/HPD/SLC39A8/LARS1/ALDH6A1/GLUL/DDC/CARS1/NARS2/FH/ECHS1/GPT2/TH/WARS1/AASS/BCKDK/EARS2/ACADSB/QARS1/IYD/SLC7A7/GCDH/UPB1/ABAT/CARS2/ETFA/ETFB/PARK7/AUH/DAO/AARS2/EPRS1/HPDL/PSPH/WARS2/PHGDH/PCBD1/NARS1/TARS1/AARS1/PSAT1/PAH/MTHFS/NAGS/GAD1/KYNU/GSS/DALRD3/PARS2/NAT8L/FARSA/GARS1/ODC1/MARS2/SLC16A2/HNF4A/GOT2/SHMT2/ARG1/BCKDHB/DBT/MECP2/MTHFR/TARS2/RARS1/PCCA/PCCB/DARS1/SARDH/CTNS	120
GO:0030900	forebrain development	147/2160	413/18805	0.3559322033898305	3.098752354048964	15.535736265726875	1.235260022727618e-38	4.864453969501359e-35	3.402166157333487e-35	POU3F3/RPGRIP1L/ATP1A2/CEP120/NDST1/NEFL/HERC1/TUBB2B/TUBA1A/RAB3GAP1/PEX5/PEX13/BMP4/ASCL1/SETD2/KIF26A/PAX6/ATRX/NTRK2/SIN3A/HPRT1/FOXG1/NOTCH3/DOCK7/ZSWIM6/BMP2/POU1F1/SIX3/PTEN/SEMA5A/ZMIZ1/MFSD2A/SLC2A1/LAMB1/SOX2/PTCHD1/OPHN1/AGTPBP1/NFIB/KRAS/PHACTR1/SCN2A/PLCB1/FGF13/WNT7B/RARB/ARX/SKI/GMPPA/FAT4/KCNC2/CNTNAP2/LARGE1/KDM6B/SZT2/CHD7/SEMA3E/CHD5/KCNA2/POMT2/POMGNT1/BCL11B/HTRA2/CTNNB1/OGDH/ATP7A/NEUROG1/EXT1/PGAP1/OTX2/PROP1/LHX3/HESX1/EZH2/KDM1A/TRAPPC9/VPS13B/C12orf57/BMPR1A/NF1/TCTN1/ARL13B/PAFAH1B1/YWHAE/SLC4A10/FOXP1/PRDM13/SLC32A1/NKX2-1/FGFR1/SEMA3A/NDNF/FGF8/FEZF1/CCDC141/TH/POU4F1/ATIC/SYNE2/ZIC1/TUBB2A/SCYL2/LRRK2/BBS1/TTC8/BBS2/BBS4/MKKS/CSF1R/ERBB4/PRDM8/TYROBP/SLC6A3/NOTCH2NLC/WDR62/ADGRG1/CNP/NARS1/PSEN1/APP/KCNA1/ZNF335/MBOAT7/RBPJ/NOTCH1/SLC1A2/SHH/STIL/GLI2/CDON/FLNA/TBR1/KIF14/SHANK3/NR4A2/FXR1/SEMA6B/ASPM/DAB1/GSX2/MECP2/RELN/NDE1/UQCRQ/FOXP2/TNR/CDH2	147
GO:0006091	generation of precursor metabolites and energy	157/2160	484/18805	0.3243801652892562	2.824059726048362	14.64526535808301	1.2196264478147537e-35	3.201925967663e-32	2.2394053338296865e-32	GFPT1/UQCRFS1/SCO2/UQCC3/FBP1/FDXR/PYGL/GBA1/HMGCL/PPP2CA/STAT3/GCK/PDX1/INS/SELENON/TKT/SDHB/PHKA2/SDHD/DLAT/ACADM/ISCU/HDAC4/COA6/PHKG2/ACOX1/NDUFS4/INPP5K/FKRP/IGF2/MDH2/ZBTB20/NDUFS8/NDUFV1/ATP5F1A/NDUFS1/NDUFS2/NDUFAF1/EP300/NDUFA12/NDUFB9/NDUFB3/NDUFA10/FDX2/MTOR/DHTKD1/NDP/PHKB/MT-ATP8/ATP5F1E/ATP5F1D/MT-ATP6/COX5A/PIK3CA/MLXIPL/COQ9/DLD/TPI1/GAA/SUCLA2/MSH2/DGUOK/PRDM16/ACAT1/C2orf69/OGDH/COMT/ATP7A/NDUFB11/UQCC2/IDH2/PDHA1/ACO2/NDUFA1/TRPV4/NDUFB10/MT-ND1/MT-ND3/NDUFV2/NDUFS6/NDUFS3/NDUFA11/NDUFS7/NDUFA6/MT-ND2/ABCC9/ZBTB7A/FH/ACADVL/ALDOA/ATP5PO/PGM1/NDUFA8/ADSL/SURF1/SUCLG1/DNAJC30/GBE1/WDR45B/PDHB/PPP1CB/ETFDH/ETFA/ETFB/ABCD1/PARK7/UCHL1/SNCA/PINK1/NDUFA2/NHLRC1/EPM2A/VCP/COX8A/FXN/PANK2/PPARGC1A/CHCHD10/RPIA/NDUFA4/MT-ND4/MT-ND5/MT-ND6/TP53/PSEN1/APP/IREB2/TREX1/SLC25A4/MFN2/MDH1/RBPJ/IDH1/FLCN/NDUFB8/COL6A1/COX10/PNPT1/COX6B1/COX6A2/COX4I1/LYRM7/SDHA/UQCRC1/LDHA/WDR45/CHCHD2/SHMT2/NDUFA9/UGP2/NDUFC2/UQCRQ/HK1/NDUFA13/TEFM/INSR/PCDH12	157
GO:0015980	energy derivation by oxidation of organic compounds	129/2160	352/18805	0.3664772727272727	3.1905579229797976	14.945232624706673	1.7066317645778003e-35	3.360357944453689e-32	2.350211585272534e-32	GFPT1/UQCRFS1/SCO2/UQCC3/PYGL/GBA1/GCK/INS/SELENON/SDHB/PHKA2/SDHD/DLAT/ACADM/ISCU/COA6/PHKG2/NDUFS4/INPP5K/IGF2/MDH2/NDUFS8/NDUFV1/ATP5F1A/NDUFS1/NDUFS2/NDUFAF1/NDUFA12/NDUFB9/NDUFB3/NDUFA10/MTOR/NDP/PHKB/MT-ATP8/ATP5F1E/ATP5F1D/MT-ATP6/COX5A/PIK3CA/MLXIPL/COQ9/DLD/GAA/SUCLA2/MSH2/DGUOK/PRDM16/C2orf69/OGDH/COMT/ATP7A/NDUFB11/UQCC2/IDH2/PDHA1/ACO2/NDUFA1/TRPV4/NDUFB10/MT-ND1/MT-ND3/NDUFV2/NDUFS6/NDUFS3/NDUFA11/NDUFS7/NDUFA6/MT-ND2/ABCC9/FH/ACADVL/ATP5PO/NDUFA8/ADSL/SURF1/SUCLG1/DNAJC30/GBE1/WDR45B/PDHB/PPP1CB/ETFDH/ETFA/ETFB/ABCD1/PARK7/SNCA/PINK1/NDUFA2/NHLRC1/EPM2A/VCP/COX8A/FXN/PANK2/PPARGC1A/CHCHD10/NDUFA4/MT-ND4/MT-ND5/MT-ND6/TP53/IREB2/TREX1/MFN2/MDH1/IDH1/NDUFB8/COL6A1/COX10/PNPT1/COX6B1/COX6A2/COX4I1/LYRM7/SDHA/UQCRC1/WDR45/CHCHD2/SHMT2/NDUFA9/UGP2/NDUFC2/UQCRQ/NDUFA13/TEFM/INSR/PCDH12	129
GO:0045333	cellular respiration	104/2160	245/18805	0.42448979591836733	3.6956160241874523	15.298969637137924	2.8393958446192266e-35	4.472616334444206e-32	3.128117569451034e-32	UQCRFS1/SCO2/UQCC3/GBA1/SDHB/SDHD/DLAT/ISCU/COA6/NDUFS4/MDH2/NDUFS8/NDUFV1/ATP5F1A/NDUFS1/NDUFS2/NDUFAF1/NDUFA12/NDUFB9/NDUFB3/NDUFA10/NDP/MT-ATP8/ATP5F1E/ATP5F1D/MT-ATP6/COX5A/PIK3CA/MLXIPL/COQ9/DLD/SUCLA2/MSH2/DGUOK/PRDM16/C2orf69/OGDH/ATP7A/NDUFB11/UQCC2/IDH2/PDHA1/ACO2/NDUFA1/TRPV4/NDUFB10/MT-ND1/MT-ND3/NDUFV2/NDUFS6/NDUFS3/NDUFA11/NDUFS7/NDUFA6/MT-ND2/ABCC9/FH/ATP5PO/NDUFA8/ADSL/SURF1/SUCLG1/DNAJC30/PDHB/ETFDH/ETFA/ETFB/ABCD1/PARK7/SNCA/PINK1/NDUFA2/VCP/COX8A/FXN/PANK2/PPARGC1A/CHCHD10/NDUFA4/MT-ND4/MT-ND5/MT-ND6/IREB2/TREX1/MFN2/MDH1/IDH1/NDUFB8/COL6A1/COX10/PNPT1/COX6B1/COX6A2/COX4I1/LYRM7/SDHA/UQCRC1/CHCHD2/SHMT2/NDUFA9/NDUFC2/UQCRQ/NDUFA13/TEFM	104
GO:0009060	aerobic respiration	92/2160	201/18805	0.4577114427860697	3.9848442970333515	15.325923085161653	1.7110750958870423e-34	2.246071242534391e-31	1.5708870134696305e-31	UQCRFS1/UQCC3/SDHB/SDHD/DLAT/ISCU/COA6/NDUFS4/MDH2/NDUFS8/NDUFV1/ATP5F1A/NDUFS1/NDUFS2/NDUFAF1/NDUFA12/NDUFB9/NDUFB3/NDUFA10/NDP/MT-ATP8/ATP5F1E/ATP5F1D/MT-ATP6/COX5A/MLXIPL/COQ9/DLD/SUCLA2/MSH2/DGUOK/C2orf69/OGDH/ATP7A/NDUFB11/UQCC2/IDH2/PDHA1/ACO2/NDUFA1/TRPV4/NDUFB10/MT-ND1/MT-ND3/NDUFV2/NDUFS6/NDUFS3/NDUFA11/NDUFS7/NDUFA6/MT-ND2/FH/ATP5PO/NDUFA8/ADSL/SURF1/SUCLG1/DNAJC30/PDHB/ABCD1/PARK7/SNCA/PINK1/NDUFA2/VCP/COX8A/FXN/PANK2/CHCHD10/NDUFA4/MT-ND4/MT-ND5/MT-ND6/IREB2/MFN2/MDH1/IDH1/NDUFB8/COL6A1/COX10/COX6B1/COX6A2/COX4I1/SDHA/UQCRC1/CHCHD2/SHMT2/NDUFA9/NDUFC2/UQCRQ/NDUFA13/TEFM	92
GO:0050905	neuromuscular process	81/2160	176/18805	0.4602272727272727	4.006747159090909	14.436721180874489	1.0188807149185433e-30	1.1463863586712066e-27	8.017748543110882e-28	CHRNA1/NEFL/ADCY5/GBA1/HERC1/ABCC8/TUBA1A/PEX5/CCDC78/ASCL1/TNNC2/ITPR1/HEXB/NRXN1/STAC3/PTEN/FKRP/SCN4A/SCN1A/DMD/MTOR/AGTPBP1/HEXA/PRRT2/STRA6/GMPPA/GAA/CNTNAP2/LARGE1/CHRND/CHD8/DMPK/COMT/NEUROG1/CTNNA2/GM2A/TNNT1/WASHC4/GRIN2A/SLC1A3/C12orf57/GRID2/ATP8A2/NKX6-2/PAFAH1B1/GCH1/CNTNAP1/POMK/FGF12/POU4F1/VPS13A/SPTBN4/UCHL1/PRKN/ROGDI/FXN/DCTN1/SLC6A3/SPG21/GLRB/APP/AARS1/KCNA1/GLRA1/ADARB1/GRIN2D/UBA5/PRKD1/MYH7/SPART/KBTBD13/SHANK3/CAMTA1/GIGYF2/VPS35/PDE8B/PNKD/JPH3/CLN8/MECP2/TNR	81
GO:0021537	telencephalon development	105/2160	280/18805	0.375	3.2647569444444446	13.754081848815977	4.755062883015119e-30	4.681359408328384e-27	3.2741110614234365e-27	POU3F3/RPGRIP1L/ATP1A2/CEP120/NEFL/HERC1/TUBB2B/TUBA1A/PEX5/PEX13/BMP4/ASCL1/KIF26A/PAX6/NTRK2/HPRT1/FOXG1/ZSWIM6/BMP2/SIX3/PTEN/ZMIZ1/MFSD2A/SLC2A1/LAMB1/AGTPBP1/NFIB/PHACTR1/SCN2A/PLCB1/FGF13/RARB/ARX/SKI/GMPPA/FAT4/CNTNAP2/LARGE1/KDM6B/SZT2/CHD7/KCNA2/POMT2/POMGNT1/BCL11B/CTNNB1/OGDH/EXT1/EZH2/KDM1A/TRAPPC9/VPS13B/C12orf57/NF1/TCTN1/ARL13B/PAFAH1B1/YWHAE/FOXP1/SLC32A1/NKX2-1/SEMA3A/FGF8/FEZF1/CCDC141/TH/ATIC/SYNE2/ZIC1/TUBB2A/LRRK2/BBS1/TTC8/BBS2/BBS4/MKKS/CSF1R/ERBB4/PRDM8/NOTCH2NLC/WDR62/ADGRG1/NARS1/PSEN1/KCNA1/MBOAT7/SLC1A2/SHH/CDON/FLNA/TBR1/KIF14/SHANK3/FXR1/SEMA6B/ASPM/DAB1/GSX2/MECP2/RELN/NDE1/UQCRQ/FOXP2/TNR/CDH2	105
GO:1901293	nucleoside phosphate biosynthetic process	114/2160	322/18805	0.35403726708074534	3.0822550034506557	13.57643408788807	6.595871613775962e-30	5.77212053667772e-27	4.036982006419837e-27	GFPT1/UQCC3/PMM2/ADCY5/FCSK/SDHB/ACACA/NANS/PNP/NMNAT1/PRPS1/SDHD/SLC52A3/RD3/GUCY2D/IMPDH1/SLC35C1/DLAT/HPRT1/ADK/NDUFS4/ACSL4/ATP6V1A/MLYCD/CAD/HACD1/NADK2/NDUFS8/NDUFV1/ATP5F1A/NDUFS1/NDUFS2/NDUFA12/NDUFB9/NDUFB3/NDUFA10/KARS1/MMUT/PPCS/MT-ATP8/ATP5F1E/ATP5F1D/MT-ATP6/ATP5MK/DLD/AMPD1/GMPPA/PPT1/RRM2B/DTYMK/NUDT2/DGUOK/GMPPB/ACAT1/MPI/TK2/NDUFB11/PGM3/PDHA1/NDUFA1/NDUFB10/MT-ND1/MT-ND3/NDUFV2/NDUFS6/NDUFS3/NDUFA11/NDUFS7/NDUFA6/MT-ND2/ADCY6/ALDOA/ATP5PO/BCKDK/NDUFA8/ADSL/COX11/DNAJC30/ATIC/TPK1/PDHB/GCDH/ELOVL1/SNCA/PINK1/NDUFA2/VCP/PANK2/ELOVL4/ATP5MC3/MT-ND4/MT-ND5/MT-ND6/AMPD2/TREM2/KYNU/SLC35A1/UGDH/TGFB1/NDUFB8/GNE/FLAD1/GARS1/SDHA/PDHX/COASY/IMPDH2/NDUFA9/UGP2/NDUFC2/HK1/NAXD/ACSF3/NDUFA13	114
GO:0007005	mitochondrion organization	138/2160	445/18805	0.3101123595505618	2.699843945068664	13.072625407086502	3.767594752027681e-29	2.967357626697001e-26	2.0753498249853532e-26	SLC30A9/DNM1L/TOMM7/UQCRFS1/SCO2/UQCC3/TWNK/LMNA/MICOS13/HMGCL/SELENON/HSD17B10/PEX5/MFF/MPV17/SLC25A46/LONP1/MICU1/NDUFS4/YME1L1/CAMK2A/LETM1/NDUFS8/NDUFS1/NDUFS2/NDUFAF2/NDUFAF1/EP300/NDUFAF6/NDUFA12/NDUFB9/NDUFB3/FOXRED1/NDUFA10/AGK/TIMMDC1/AGTPBP1/AIFM1/TMEM70/ATP5F1D/ATPAF2/COX20/POLG/ACAD9/CTCF/CAMKMT/RRM2B/TIMM50/HTRA2/ATP7A/NDUFB11/POLG2/UQCC2/NDUFA1/BCS1L/NDUFAF3/NDUFB10/NDUFAF8/TMEM126B/MT-ND1/NDUFS3/NDUFAF5/NDUFA11/NUBPL/NDUFAF4/NDUFS7/NDUFA6/MT-ND2/ABCC9/WDR81/RALA/CNTNAP1/ATAD3A/VPS13A/NDUFA8/SURF1/HSPD1/AFG3L2/VPS13C/PARK7/LRRK2/SNCA/PINK1/PRKN/NDUFA2/EPM2A/TIMM8A/FXN/PANK2/SQSTM1/PPARGC1A/ERBB4/CHCHD10/SPG7/MT-ND4/MT-ND5/MT-ND6/ATP13A2/CNP/TP53/TOMM40/TERT/SLC25A4/MFN2/OPA1/COA8/MSTO1/NDUFB8/MTX2/MTM1/COL6A1/SCO1/COX10/DNA2/PNPT1/PET100/EDN1/LYRM7/SDHAF1/HUWE1/WASF1/TIMM22/MAPT/VPS35/DDHD1/DDHD2/CHCHD2/TACO1/TTC19/NDUFA9/CLN8/GDAP1/PDE2A/NDUFC2/CERT1/RAP1GDS1/VPS13D/NDUFA13	138
