from_gene	to_gene	combined_score
CRX	TULP1	717
KCNQ1	KCNJ13	860
TULP1	KCNJ13	479
CEP41	B9D2	618
ASNS	GOT2	961
CPSF3	THOC2	723
BMP4	MYOD1	559
CRX	GUCY2D	806
TULP1	GUCY2D	745
KCNJ13	GUCY2D	411
FIG4	PI4KA	538
SOX4	KRAS	437
RAP1B	KRAS	670
PI4KA	KRAS	409
CEP41	TMEM231	666
B9D2	TMEM231	991
VPS4A	TUBB2B	670
CEP41	IFT172	466
B9D2	IFT172	595
ATP6V1E1	IFT172	656
TMEM231	IFT172	469
B9D2	ARL3	403
FKTN	RXYLT1	908
CEP41	B9D1	656
B9D2	B9D1	988
TMEM231	B9D1	991
IFT172	B9D1	585
ARL3	B9D1	422
FKTN	POMT2	950
RXYLT1	POMT2	885
CEP41	KATNIP	522
TMEM231	KATNIP	434
IFT172	KATNIP	426
B9D1	KATNIP	404
THOC2	KPNA3	423
CEP41	CSPP1	778
B9D2	CSPP1	626
TMEM231	CSPP1	731
IFT172	CSPP1	547
B9D1	CSPP1	664
KATNIP	CSPP1	599
CRX	RPE65	752
TULP1	RPE65	760
KCNJ13	RPE65	457
GUCY2D	RPE65	804
DPH2	DPH1	998
H3-3A	SMARCB1	526
KRAS	SMARCB1	431
SOX4	FOSL2	457
IFT172	EVC	469
H3-3A	SMARCC2	833
SMARCB1	SMARCC2	999
POMT2	PMM2	468
SRD5A3	PMM2	649
SMARCB1	POGZ	439
ATP6V1E1	ATP6V1A	999
ATP6V1E1	ATP6V1B2	999
ATP6V1A	ATP6V1B2	999
PIGU	PGAP2	462
SMG9	HMBS	416
CEP41	TMEM138	803
B9D2	TMEM138	741
TMEM231	TMEM138	882
IFT172	TMEM138	502
B9D1	TMEM138	804
KATNIP	TMEM138	536
CSPP1	TMEM138	734
B9D2	CEP164	537
TMEM231	CEP164	558
IFT172	CEP164	424
ARL3	CEP164	437
B9D1	CEP164	588
CSPP1	CEP164	467
EXOC2	VPS51	430
BMP4	ZIC1	479
TRIP13	TSEN2	869
WARS2	TSEN2	450
KCNJ13	CSF1R	520
KRAS	CSF1R	450
SMARCB1	CSF1R	473
CEP164	SASS6	730
TRIP13	BUB1B	953
CEP41	PDE6D	584
B9D2	PDE6D	438
GUCY2D	PDE6D	744
KRAS	PDE6D	897
TMEM231	PDE6D	545
