gene	degree	betweenness	clustering	module
ASNS	1	0	0	15
B9D2	11	5.6865354214291394e-5	0.9272727272727274	2
FKTN	7	0.0067636600058381775	0.4285714285714286	4
TMEM231	11	1.5632802831274292e-4	0.8909090909090909	2
DPH2	2	0	1	20
SMARCB1	8	4.776689754000478e-5	0.8928571428571429	5
ATP6V1E1	3	0	1	13
ATP6V1A	3	0	1	13
TRIP13	1	0	0	8
ARL3	1	0	0	11
LAMB1	5	0.0025475678688002545	0.8	1
TUBB2B	4	0.009593185255950959	0.3333333333333333	6
BUB1B	5	4.776689754000478e-4	0.4	8
B9D1	12	2.3973054782703692e-4	0.8333333333333333	2
VPS51	1	0	0	14
COG1	1	0	0	14
PMM2	1	0	0	31
RXYLT1	6	0.013073534485046308	0.33333333333333337	4
IFT172	7	0.02118461905899211	0.5714285714285714	3
TCTN2	11	1.5632802831274292e-4	0.8909090909090909	2
IFT80	5	0.001313589682350131	0.9	3
TUBA1A	6	0.02233102459995223	0.2	6
SMARCC2	8	4.776689754000478e-5	0.8928571428571429	5
ARID1A	7	0	1	5
PRKDC	1	0	0	10
POMT2	6	0.005770506594485577	0.6666666666666667	4
TSEN2	3	0	1	12
ATP6V1B2	3	0	1	13
SMARCE1	8	4.776689754000478e-5	0.8928571428571429	5
BUB1	5	3.184459836000318e-4	0.5	8
H3-3A	2	8.757264549000876e-4	0	5
RPE65	1	0	0	17
MYOD1	2	8.757264549000876e-4	0	21
TUBB	2	0	1	6
EVC	3	0	1	3
CEP164	1	0	0	10
MRE11	2	1.592229918000159e-4	0	10
POMK	6	0.00889326752116339	0.5333333333333333	4
RAPSN	6	0.008226521243000823	0.26666666666666666	1
CEP120	1	0	0	29
PIGU	1	0	0	30
B4GAT1	2	0.006528142663800653	0	22
EXOC2	2	0	1	1
KRAS	5	0.012387548762041232	0.6	1
DYNC1H1	8	0.13724225778202365	0.2857142857142857	7
BICD2	5	0.004418438022450442	0.7	7
TAF4	2	7.961149590000795e-5	0	18
RAC1	12	0.09251386566886921	0.19696969696969696	1
OFD1	3	0.006528142663800653	0.3333333333333333	3
TSEN54	3	0	1	12
POMGNT2	7	0.00610686516466311	0.5714285714285714	4
GUCY2D	1	0	0	27
CENPF	3	7.961149590000795e-5	0.6666666666666666	8
NPHP1	5	0	1	2
KNL1	3	0	1	8
EVC2	3	0	1	3
DPH1	2	0	1	20
FIG4	1	0	0	26
PDE6D	3	0.006528142663800653	0.3333333333333333	11
PI4KA	1	0	0	1
INPP5E	3	0.021728630947642165	0.3333333333333333	11
FKRP	4	1.0747551946501076e-4	0.6666666666666666	4
POMGNT1	7	0.015146087094976515	0.4761904761904762	4
POLR1A	1	0	0	16
DOK7	2	0	1	1
HNRNPH1	1	0	0	25
VPS35L	1	0	0	23
PHGDH	1	0	0	24
AHI1	13	5.972585385052544e-4	0.7435897435897436	2
SUFU	9	0.056279296427373816	0.2777777777777778	3
TMEM107	5	0	1	2
ARID2	5	0	1	5
ARID1B	7	0	1	5
CPSF3	3	2.7864023565002784e-4	0	9
RPGRIP1L	8	0.025197038452352518	0.39285714285714285	2
MKS1	14	0.05626089273091901	0.6153846153846154	2
KIF7	2	0	1	3
VLDLR	1	0	0	7
WDR35	5	0.001313589682350131	0.9	3
DYNC2I2	3	0.10923227980787088	0.3333333333333333	3
GLI3	9	0.056279296427373816	0.2777777777777778	3
RAP1B	1	0	0	1
MUSK	4	0.0076427036064007645	0.3333333333333333	1
LAMA1	5	0.0025475678688002545	0.8	1
PAFAH1B1	5	0.11403550672717132	0.2	7
DYNC2H1	9	0.11318631743757131	0.2777777777777778	3
TCTN1	10	0	1	2
PLG	1	0	0	19
GPC3	1	0	0	19
NRAS	4	0.0015497704535201572	0.8333333333333334	1
SMARCD1	8	4.776689754000478e-5	0.8928571428571429	5
TSEN15	3	0	1	12
TMEM67	13	5.972585385052544e-4	0.7435897435897436	2
ARL13B	3	0.021489796459942142	0.3333333333333333	11
IFT74	5	0.022206299923042207	0.6	3
CSF1R	1	0	0	1
PTEN	4	0.026319560544542615	0.16666666666666666	1
FGFR1	3	0	1	1
RAB3GAP2	4	0	1	7
CDC42	8	0.04620120478730462	0.32142857142857145	1
SMARCA4	10	0.0029137807499402917	0.5555555555555556	5
GOT2	2	7.961149590000795e-5	0	15
CC2D2A	13	5.972585385052544e-4	0.7435897435897436	2
B3GALNT2	3	0	1	4
POMT1	7	0.005858742669108086	0.6190476190476191	4
IQCB1	1	0	0	2
TMEM216	12	2.3973054782703692e-4	0.8333333333333333	2
GEMIN4	2	3.980574795000398e-5	0	9
POLR3A	2	7.961149590000795e-5	0	16
LRAT	2	7.961149590000795e-5	0	17
RAB3GAP1	4	0	1	7
ASXL1	1	0	0	28
COG8	2	7.961149590000795e-5	0	14
GMPPB	1	0	0	31
TUBB3	1	0	0	6
ATP6V0A2	3	0	1	13
CCDC32	1	0	0	5
MEF2C	1	0	0	21
TUBB4B	2	0	1	6
ATR	2	1.592229918000159e-4	0	10
KIAA0586	1	0	0	29
PGAP1	1	0	0	30
LARGE1	1	0	0	22
TRRAP	1	0	0	18
MACF1	1	0	0	1
ARHGEF2	2	0	1	1
KIAA0753	1	0	0	3
RD3	1	0	0	27
KIF14	2	0	1	8
BUB3	3	0	1	8
DPH5	2	0	1	20
MTM1	1	0	0	26
HNRNPR	1	0	0	25
CCDC22	1	0	0	23
PSAT1	1	0	0	24
B4GALT1	1	0	0	4
TUBB2A	2	0	1	6
PPP1CB	1	0	0	9
RPGRIP1	1	0	0	2
DYNC2I1	2	0	1	3
CRPPA	1	0	0	4
IGF2	2	7.961149590000795e-5	0	19
TSEN34	3	0	1	12
IFT140	5	0.001313589682350131	0.9	3
TAF1	1	0	0	18
HRAS	6	0.018915691425841884	0.4	1
KIF5A	1	0	0	6
ROBO1	2	0	1	1
NEK1	1	0	0	3
DPF2	7	0	1	5
MDH1	1	0	0	15
DAG1	11	0.07521163389326752	0.32727272727272727	4
CEP290	13	0.006988924352191609	0.6666666666666666	2
NUP37	2	7.961149590000795e-5	0	9
BRF1	1	0	0	16
RDH12	1	0	0	17
NUP88	2	7.961149590000795e-5	0	9
RAB18	4	0	1	7
PCGF2	1	0	0	28
TCTN3	7	0	1	2
