gene	degree	betweenness	clustering	module
CRX	17	200.05206422802246	0.8382352941176471	4
KCNQ1	5	194.3223824915509	0.1	8
TULP1	21	45.64618353707551	0.7333333333333333	4
CEP41	28	8.793407134213693	0.9312169312169312	1
ASNS	6	1017.393833048055	0.2	13
CPSF3	6	240.65961723880838	0.26666666666666666	6
BMP4	14	1406.9495717784687	0.14285714285714285	8
KCNJ13	15	354.88121109677616	0.7428571428571429	4
FIG4	6	267.35744837268055	0.26666666666666666	2
SOX4	4	304.04482393254756	0.3333333333333333	24
RAP1B	5	2.6546873306671634	0.9	2
PI4KA	8	228.2393095914551	0.35714285714285715	2
B9D2	40	555.8694027833469	0.6410256410256411	1
VPS4A	5	47.02791716981159	0.5	3
ATP6V1E1	4	356.3432498036846	0.5	14
TMEM231	34	48.875333299760676	0.8092691622103387	1
FKTN	14	341.74500548932576	0.8571428571428571	7
IFT172	42	748.35641460428	0.6062717770034843	1
ARL3	15	51.527002034022786	0.7238095238095238	1
RXYLT1	14	150.7671340742672	0.8571428571428571	7
B9D1	41	858.0775365115385	0.6414634146341464	1
THOC2	7	128.3521111163578	0.3333333333333333	6
KATNIP	19	4.619533544953481	0.8888888888888888	1
GUCY2D	18	38.57195070071234	0.8366013071895424	4
DPH2	3	108.7042609284251	0.3333333333333333	12
H3-3A	10	75.65748689817596	0.5111111111111111	2
KRAS	25	1994.7546932861976	0.26333333333333336	2
SMARCB1	21	772.0770566169668	0.36666666666666664	2
POMT2	14	80.08063740197997	0.8681318681318682	7
SRD5A3	2	0	1	14
ATP6V1A	3	0	1	14
PIGU	3	0	1	20
SMG9	3	197.62778030213173	0	30
CSPP1	33	343.0963900968319	0.7537878787878788	1
EXOC2	9	900.681519785237	0.19444444444444445	10
TRIP13	18	2346.2842154268124	0.2549019607843137	3
WARS2	3	83.12520245329293	0.3333333333333333	11
CEP164	35	732.8177874298751	0.5630252100840336	1
TMEM138	34	57.60236972181345	0.7825311942959002	1
ZIC1	6	519.241883414084	0.26666666666666666	15
TAF4	7	488.17109356494694	0.09523809523809523	6
LAMB1	7	153.01592901159762	0.4761904761904762	5
PMM2	7	429.0427175246423	0.14285714285714285	10
VPS51	4	178.28475757442538	0.3333333333333333	10
TUBB2B	13	433.339625710676	0.3974358974358974	3
ATP6V1B2	6	372.7822987120269	0.26666666666666666	14
SASS6	8	105.55547727249267	0.2857142857142857	1
BUB1B	15	602.4239765034404	0.33333333333333337	3
PDE6D	32	2138.0271140281993	0.5443548387096774	1
CEP120	34	305.4414298878209	0.5864527629233511	1
COG1	6	526.5101388446486	0.2	10
ATP2B3	3	36.42795295710918	0.3333333333333333	9
LETM1	1	0	0	9
BUB1	15	726.7671101627162	0.33333333333333337	3
RAPSN	7	43.51623365665503	0.38095238095238093	5
GMPPB	18	619.5356384252185	0.5359477124183006	7
RPE65	17	4.857853199130989	0.9264705882352942	4
